,coffee,cr_rating,coffee_origin,roaster,roaster_location,roast_level,aroma,acidity_structur,body,flavor,agtron,review,review_date,price_estimate
5823,Bantu Blend,87,"East, Central, and southern Africa",Diedrich Coffee,"Irvine, California",Medium-Dark,7,7,8,8,40/47,"Simple but deeply rich aroma, with a distinct raisin/prune complication. The cup displays a gentle acidity wrapped in a deep, fundamental sweetness, with muted notes of dusk-blooming flowers, papaya, caramel, raisins. Simple but long, clean finish.",February 2005,February 2005
5824,Tanzania,87,Tanzania,Joe's Coffee House,"Atlanta, Georgia",Medium,7,7,7,8,44/62,A simple but refreshing coffee,February 2005,NA
5825,"Zambia AA Plus, Lupili Estate",88,Zambia,Kaffe Magnum Opus,"Millville, New Jersey",Medium,7,7,8,7,49/59,"A changeable coffee both as it cools and from session to session. Constants are a crisp coffee fruit that probably best reads as pear or cherry, a smoky, spicy chocolate sensation, and distinct floral notes that at times resemble an elegant, heady lilac. The finish tends to be heavy, but as the cup cools the long finish is finely floral.",February 2005,February 2005
5826,Zimbabwe AA,89,"Chipinge growing region, eastern Zimbabwe",Green Mountain Coffee,"Waterbury, Vermont",Medium,8,7,8,8,53/66,A low-toned but deceptively lyric coffee. Rich in both aroma and cup,February 2005,February 2005
5827,Rwanda Gorilla Blend,90,"Rwanda, Central Africa",Thanksgiving Coffee,"Fort Bragg, California",Medium-Dark,8,8,7,8,37/47,"Low-toned fruit (peach?), semi-sweet chocolate and fresh-cut cedar notes in the aroma. The cup is delicate but lush, enlivened by a softly tart acidity and complicated by continued fruit (cherry, peach) and semi-sweet chocolate notes. The finish is simple but sweetly clean.",February 2005,February 2005
5828,Tanzania Peaberry,91,"Tanzania, probably the Mt. Kilimanjaro region in the north",Green Mountain Coffee,"Waterbury, Vermont",Medium,8,7,9,8,49/66,"A tribute to the upside of slightly fermented fruit tones in coffee. Sweet and completely free of bitterness or saltiness, the ferment comes across as sweetly orange-toned in the aroma with a crisp hint of cedar, in the cup as a lushly ripe papaya- and peach-toned fruitiness that leans toward chocolate but never quite surrenders its tropical juiciness.",February 2005,February 2005
5829,Rwanda,91,"Rwanda, Central Africa",Stumptown Coffee Roasters,"Portland, Oregon",Medium,9,7,7,9,50/56,"Everything explodes near the top of the profile in this intensely fragrant coffee. The aroma is rich with floral, sweet lemon and lush chocolate notes. Exhilarating floral tones dominate the cup, but to simply call them floral understates their complexity",February 2005,February 2005
5830,Tanzania Peaberry,93,"Tanzania, probably the Mt. Kilimanjaro region in the north",Don Francisco's Coffee,"Vernon, California",Medium,8,8,8,8,48/67,"In the aroma this relatively light-roasted coffee is caramelly but smoky, with cherry and sweet pipe tobacco notes. In the cup it is delicate yet robust and very sweet, with a smoothly rich acidity, heavy body, and a giddy complexity anchored around wine and cherry tones with hints of smoke and milk chocolate. The finish is clean, long and sweet.",February 2005,February 2005
5831,Cafe Quindio Gourmet Colombian,91,"Armenia growing region, Quindio Department, Colombia",Colombian Gourmet Products,"Armenia, Colombia",Medium-Dark,8,8,8,8,47/53,"Complex but balanced. The acidity is sweet and winy, the body medium but round in mouthfeel, the general impression delicate but rich. Milk chocolate, fruit (lemon, apricot, papaya) and a slight cedar pungency run through the profile from aroma to the pleasingly light-footed finish.",January 2005,January 2005
5832,La Mattina Sumatra,83,"Northern provinces of Sumatra, Indonesia",Pioneer Coffee Roasting,"Cle Elum, Washington",Medium-Dark,7,6,7,6,45/51,"Intensely musty, aka ""earthy."" In the aroma, the musty tones read as a sort of ripe apricot rolled in earth and chocolate, but in the cup the mustiness flattens, simplifies, and dominates before softening slightly in the rather salty finish.",January 2005,January 2005
5833,Decaf Sumatra,84,"Northern provinces of Sumatra, Indonesia",Starbucks Coffee,"Seattle, Washington",Very Dark,7,7,7,7,23/36,"Muted aroma with roasty pine and spice notes and a hint of low-key fruit. Delicate in the cup, with distinct and explicit spice notes ? cinnamon, nutmeg perhaps, with a continuing hint of apricot-toned fruit.",January 2005,January 2005
5834,Sumatra,85,"Northern provinces of Sumatra, Indonesia",Starbucks Coffee,"Seattle, Washington",Dark,7,7,7,8,33/41,Agreeable but a bit lazy in the aroma,January 2005,January 2005
5835,Wild Horses Sumatra Decaf,87,"Northern provinces of Sumatra, Indonesia",Snowy Mountain Coffee,"Harlowton, Montana",Very Dark,7,8							,8,,25/37,"Agreeably dominated by the roast. Deeply and gently charred cedar in aroma and cup, with hints of low-key fruit ? banana or papaya ? and chocolate. The astringency in the finish is nicely wrapped in a rich memory of fruit and chocolate.",January 2005,January 2005
5836,Sumatra,87,"Northern provinces of Sumatra, Indonesia",Peet's Coffee & Tea,"Berkeley, California",Dark,8,7,7,8,33/39,At its best in the aroma,January 2005,January 2005
5837,Organic Fair-Trade Sumatra French Roast,87,"Gayo growing region, Aceh Province, northern Sumatra, Indonesia",Coffee Tea Etc.,"Goshen, Connecticut",Very Dark,8,7,7,8,26/36,"Rich, low-key, smoky, with an agreeably mild musty ferment that reads in aroma and cup as raisins and semi-sweet chocolate. In the aroma complex, in the cup balanced but a bit simple; surprisingly clean, soft finish.",January 2005,January 2005
5838,Organic Fair-Trade Sumatra Gayoland,87,"Gayo growing region, Aceh Province, northern Sumatra, Indonesia",Kaldi's Best Sustainable Coffees,"Madison, Wisconsin",Dark,8,7,7,8,33/39,"In the aroma cedar, spice, papaya, and a hint of semi-sweet chocolate. Delicate in the cup, with very sweet citrus notes, pink grapefruit perhaps, and a distinct cedar character with a continuing hint of chocolate. Rather heavy finish for such a light-footed coffee.",January 2005,January 2005
5839,Sulawesi,88,"Toraja (also Kalosi) growing region, southwestern Sulawesi, Indonesia",Dazbog Coffee,"Denver, Colorado",Very Dark,9,7,7,8,29/40,"Lushly high-toned, remarkably complex aroma",January 2005,January 2005
5840,Sumatra Mandheling Light Roast,88,"Mandheling growing region, North Sumatra Province, Sumatra, Indonesia",First Colony Coffee & Teas,"Norfolk, Virginia",Medium-Dark,9,7,8,7,46/55,"Delicately rich and comfortably round, dominated by a winy ferment that reads as spice, mango, chocolate and cedar in the aroma, cocoa and spice in the cup. Rich finish with only the slightest tickle of astringency.",January 2005,January 2005
5841,Sumatra Mandheling Grade 1,89,"Mandheling growing region, North Sumatra Province, Sumatra, Indonesia",Stumptown Coffee Roasters,"Portland, Oregon",Dark,7,7,8,8,37/41,"Deeply and opulently sweet, big-bodied, with a bracing, bitter edge of spice, herb and cedar. The cup reveals undercurrents of wine-toned fruit. The short finish is rich, the long leaves us with a slight astringent saltiness.",January 2005,NA
5842,Sumatra,90,"Northern provinces of Sumatra, Indonesia",Quartermaine Coffee Roasters,"Rockville, Maryland",Very Dark,9,7,8,8,32/35,Powerful and complex. Extraordinary aroma,January 2005,January 2005
5843,Sumatra Mandheling,92,"Mandheling growing region, North Sumatra Province, Sumatra, Indonesia",Terroir Select Coffees,"Acton, Massachusetts",Medium-Light,9,8,8,8,62/79,"This unusually light roasted Sumatra is very sweet and richly high-toned, and exceptional in its lush but delicate expression of the natural character of coffee fruit and flower. The fruit suggests cherry leaning toward unsweetened chocolate, but those who have visited coffee farms will recognize it as the taste of the coffee fruit itself, with shimmers of jasmine-like coffee flower. The short finish is cherryish and rich, though the long leaves us with just the slightest hint of astringency.",January 2005,NA
5844,Espresso – a.k.a. Silver Beans,87,Not Disclosed,San Giorgio Coffee Company,"Hollywood, Florida",Medium,6,8							,7,8,44/62,"In the aroma low-toned, with cedar and papaya notes leaning toward chocolate. In the small cup the body is heavy with a pleasantly rough mouthfeel, the flavor rich with continuing suggestions of cedar and papaya-toned chocolate. The short finish maintains the chocolaty richness, but the long concludes with a hint of saltiness and astringency. The generally heavy profile softens nicely in milk while maintaining a pleasing depth and power, though the woody cedar tones seem to hinder the chocolate from fully sweetening and blooming.",December 2004,December 2004
5845,Breakfast Blend,92,Not Disclosed,Green Mountain Coffee,"Waterbury, Vermont",Medium,8,7,7,8,46/64,"A coffee that demonstrates the virtue of a dash of cleanly and sweetly fermented fruit taste in a blend. The aroma is low-toned and caramelly, with smoky and raisiny chocolate suggestions. The cup is roundly rich with a tingle of fermented fruit that reads as a raisin- or brandied-cherry-toned chocolate.",December 2004,December 2004
5846,Vermont Country Blend,92,Not Disclosed,Green Mountain Coffee,"Waterbury, Vermont",Medium-Dark,9,7,7,9,42/52,Delicate but deeply dimensioned aroma,December 2004,December 2004
5847,Organic Midnight Sun,83,"Oaxaca State, Mexico; Puno, Peru; Esteli Nicaragua",Equal Exchange,"West Bridgewater, Massachusetts",Very Dark,7,7							,7,,21/23,"The roast dominates the coffee in this extreme dark-roast profile. Intensely but roundly and sweetly charred in the aroma, with a gingery, cedarish complication. The cup is dominated by charred tones that remain just on the pleasantly rich, aromatic cedar side of flat-out burned.",December 2004,December 2004
5848,Kona Mountain Estate,86,"Kona growing region, Big Island of Hawaii",Green Mountain Coffee,"Waterbury, Vermont",Medium,8,7,8,7,55/66,"The aroma is rich and rather deep with apple, pipe tobacco and semi-sweet chocolate notes. In the cup lively when hot, but almost immediately contracts in sensory range, turning monotoned and heavy, though still with pleasant allusions to the dry apple and chocolate notes.",December 2004,December 2004
5849,El Salvador Santa Leticia,87,El Salvador,Caravan Coffee,"Newberg, Oregon",Medium-Dark,8,7,7,8,47/53,"In the aroma rather subdued but complex with chocolate, cherry and a bracing whiff of cedar. The cup is delicate when hot, with a lovely, lyric balance of sweetness and a gentle shimmer of acidity complicated by slightly tart, cherryish chocolate notes. As the cup cools the profile simplifies and flattens, however. I had this coffee rated 90 until it cooled.",December 2004,December 2004
5850,Organic Cafe Peru,87,"Puno, Peru",Equal Exchange,"West Bridgewater, Massachusetts",Medium,8,7,8,8,48/59,"A touch of fruit ferment both pleasantly complicates and slightly mars this interesting coffee. In the cup the ferment turns the acidity pleasantly winy and bends the fruit toward a rich, brandied chocolate with raisin and caramel innuendo. The long finish is marred by a troublesome bitterness, however, probably owing to the same ferment.",December 2004,December 2004
5851,Brazil Fazenda Cachoeira,87,"Minas Gerais State, Brazil",Stone Cup Roasting,"Chattanooga, Tennessee",Medium,8,7,7,7,46/59,"In the aroma high-toned and delicate, complicated by sweet spice and suggestions of flowers and chocolate. The cup is low in acidity and dominated by a crisp nutty fruit, raisins and walnuts perhaps, with a continuing shimmer of floral chocolate. A very slight astringency surfaces as the cup cools.",December 2004,December 2004
5852,Colombia La Vereda,87,"Caldas Department, Colombia",Bucks County Coffee,"Langhorne, Pennsylvania",Medium,7,7,7,8,51/61,"A balanced, sweet, endearingly simple cup, refreshing and direct without drama or complexity. Low-toned fruit, prune perhaps, and a hint of flowers. Slight astringency in the otherwise long, agreeable finish.",December 2004,December 2004
5853,Organic Mexican La Trinidad,88,"Oaxaca State, Mexico",Allegro Coffee,"Thornton, Colorado",Medium,7,6,7,7,52/68,In the aroma richly low-toned,December 2004,December 2004
5854,Guatemala El Cuervo,89,"Fraijanes growing region, Guatemala",Intelligentsia Coffee,"Chicago, Illinois",Medium-Light,8,7,7,8,60/72,"Low-key, richly pungent aroma",December 2004,December 2004
5855,Brazil Fazenda Lagoa Estates,90,"Sul de Minas growing region, southern Minas Gerais State, Brazil",The Roasterie,"Kansas City, Missouri",Medium,8,7,7,8,51/60,"The low-toned aroma is charged with cocoa and spicy fruit (apricot?) notes. In the cup a dry-yet-sweet, almost sugary fig-like character dominates, enlivened by a soft shimmer of acidity. The finish is sweet, rich and long with chocolate and dry fruit notes.",December 2004,December 2004
5856,Colombia Supremo Pitalito Estate,90,"San Augustin growing region, Huila Department, Colombia",The Roasterie,"Kansas City, Missouri",Medium-Light,8,8,8,8,61/68,"A tribute to the tartly sweet, invigorating sensation coffee insiders call acidity. In the aroma richly fruity and orange-toned; in the cup giddy with rich, high-toned acidity laced with fruit suggesting oranges and tart cherries. The acidity softens and sweetens voluptuously in the finish.",December 2004,December 2004
5857,Colombia Toledo Labateca,90,"Norte de Santander Department, Colombia",CC's Coffee,"Baton Rouge, Louisiana",Medium,8,8,7,8,51/61,"A complex and interesting coffee rather than a perfect one. The aroma is subdued but round and sweet with a distinct cherry-toned milk chocolate. In the cup the acidity is soft but the fruit turns bracing and tartly sweet -- think the pleasantly sour sweetness of pie cherries. As the cup cools the fruit softens once again, revealing a refined but almost candyish chocolate character.",December 2004,December 2004
5858,Nicaragua Hacienda Santa Clotilde,82,"Matagalpa growing region, Nicaragua",Origins Coffee Roasterie,"Cape Coral, Florida",Medium-Dark,7,6,7,6,40/48,A past-crop green coffee that faded badly in storage before roasting. The dominating character is a pungency that reads as sweet pine in the aroma and a rather salty spice in the cup.,November 2004,November 2004
5859,Honduras Tutule La Sociedad,87,"Tutule growing region, La Paz Department, southwestern Honduras",Counter Culture Coffee Roasters,"Durham, North Carolina",Medium,7,7,8,7,47/60,"Low-toned and pungent, bittersweet rather than acidy. Cedar and chocolate hints in the aroma; in the cup a deep, pruny (or perhaps dried fig) fruit and crisp, dry berry notes, with perhaps a little rounding suggestion of chocolate.",November 2004,November 2004
5860,Nicaragua Buena Vista,88,"Nueva Segovia growing region, Nicaragua",Timothy's World Coffee,"Toronto, Canada",Medium,7,7,8,8,50/58,"Low-key and rich. In the aroma fresh-cut cedar and caramel, with a shimmer of crisply temperate fruit, pear perhaps. In the cup the low-toned acidity is sweet, the mouthfeel round. The cup is a bit monotoned when hot, but as it cools it opens up beautifully, revealing a deep, black-cherry-toned fruit. The finish is slightly heavy.",November 2004,November 2004
5861,El Salvador Los Naranjos,90,"Los Naranjos Farm, El Salvador",Origins Coffee Roasterie,"Cape Coral, Florida",Medium,7,8,9,8,46/57,"Aroma and finish are balanced and understated, almost simple, but the cup transcends limitation with its big-bodied, sweet-toned opulence. There is nuance here",November 2004,November 2004
5862,Cup of Excellence El Salvador Brasil,90,El Salvador,Coffee Masters,"Spring Grove, Illinois",Medium,9,7,8,8,53/55,"Sweet, low-toned, resonant in dimension. Distinct raisin and milk chocolate notes in the aroma. In the cup big-bodied and creamy, with a tightly woven, deep-toned, caramel- and chocolate-toned complexity.",November 2004,November 2004
5863,Nicaragua Los Delirios,91,"Esteli Department, Nicaragua",Intelligentsia Coffee,"Chicago, Illinois",Medium,8,8,8,8,56/65,"A bold, sweetly acidy coffee with a shifting, subtle complexity. In the aroma low-toned, lushly rich fruit (apricot, papaya, even banana) leaning toward milk chocolate. In the cup brighter and higher-toned, with lemon, flowers and continued suggestions of milk chocolate. Rounds and richens as it cools, the fruit tones landing somewhere near cherry.",November 2004,November 2004
5864,El Salvador Las Nubitas,92,"Las Nubitas Farm, El Salvador",Intelligentsia Coffee,"Chicago, Illinois",Medium,8,7,8,8,57/63,"An unusual bittersweet, gently spicy tendency runs from aroma through finish. The aroma is caramelly but pungent, with a hint of milk chocolate. The cup is low-toned and dominated by a sweet/sour/bitter fruit; tamarind and lemon perhaps. In the cup the background milk chocolate is more pronounced, rounding the bright fruit. The finish is slightly but richly astringent.",November 2004,November 2004
5865,El Salvador Las Nubitas,92,"Las Nubitas Farm, El Salvador",Stumptown Coffee Roasters,"Portland, Oregon",Medium,8,8,8,9,53/63,"A delicately intense, sweetly acidy cup. In the aroma spicy and floral with milk chocolate undertones. Perfectly balanced and lyric in the cup, with floral notes and a sweet, high-toned temperate fruit, pear or cherry. The chocolate resurfaces in the long, gently astringent finish.",November 2004,NA
5866,La Corona Blend,92,"El Salvador, Honduras, Nicaragua",Intelligentsia Coffee,"Chicago, Illinois",Medium-Light,8,8,8,8,61/74,"The aroma is low-toned but resonant with leather and fruit-toned chocolate. The acidity is rich and smoothly integrated, the mouthfeel round and supple. The chocolate declaration in the aroma is even more pronounced in the cup, but fruitier, more opulent.",November 2004,November 2004
5867,Nicaragua Madriz Jose Alfredo Zeledon Cooperative,93,"Mardriz Department, Nicaragua",Terroir Select Coffees,"Acton, Massachusetts",Medium-Light,8,8,8,9,62/78,"Delicately rich in aroma and cup. The clean, elegant fruit suggests peach in the aroma and cherry in the cup, with a little swoon toward chocolate. The refined acidity rounds and sweetens beautifully as the cup cools, deepening toward wine.",November 2004,November 2004
5868,El Salvador Montecarlos Peaberry,94,El Salvador,Stumptown Coffee Roasters,"Portland, Oregon",Medium,9,8,9,9,53/64,"Sweet, low-toned, deep, to turn metaphorical, a quiet, smiling, radiant coffee. In the aroma caramel and peach-toned fruit. The peach notes carry into the cup, joined by exhilarating suggestions of flowers and a hint of chocolate. The chocolate turns more explicit in the fine, rich finish.",November 2004,NA
5869,El Salvador Montecarlos Tablon Crater,94,El Salvador,Intelligentsia Coffee,"Chicago, Illinois",Medium-Light,8,8,7,9,55/72,"Understated but quietly distinctive. The aroma is round, caramelly and (quite literally) buttery; patience may turn up little cedar and chocolate revelations as well. The butter and caramel notes carry into the cup, where the fruity chocolate intensifies. The short finish is deep, sweet and rich; a memory of chocolate resurfaces in the long.",November 2004,November 2004
5870,"Kenya AA, 2004 Crop",93,South-central Kenya,Bucks County Coffee,"Langhorne, Pennsylvania",Medium-Light,9,8,7,8,55/68,"Sweetly high-toned and delicate, this melodic coffee makes up in nuanced top notes what it may lack in force. The exquisite aroma is complexly and sweetly citrusy - Meyer lemon, pink grapefruit - with a shimmer of roses. The sweet citrus notes carry into the cup, joined by crisp dry berry and black currant.",October 2004,October 2004
5871,Papua New Guinea,91,Papua New Guinea,Moore Coffee,"Ventura, California",Medium-Dark,8,8,7,8,38/45,"A gentle, sweet coffee whose balance and understated depth and completeness genuinely merits the word elegant. A delicate, dry chocolate flits through the profile from aroma through finish; the acidity is soft, rich, and sweet with pink grapefruit notes.",October 2004,October 2004
5872,Tanzania Peaberry,88,Tanzania,Green Mountain Coffee,"Waterbury, Vermont",Medium,8,7,8,8,45/64,"This coffee displayed a very slight ""old crop"" (faded, musty-mildew) character that caused co-cupper Christy Thorns to drop her score to 86. Ken (90) felt this shadow defect hardly mattered, however, given the cup's ""almost effervescent delicacy, with tickles of sweet cocoa, pipe-tobacco and caramel."" Christy offered a similar reading of the cup, but with less enthusiasm",October 2004,October 2004
5873,Kenya Muthiani,89,South-central Kenya,Coffee Emergency,"Lincoln, Nebraska",Medium-Dark,8,7,8,8,40/49,"The roast dominates the coffee, but agreeably so. Co-cupper Christy Thorns",October 2004,October 2004
5874,Ethiopia Sidamo Organic,88,"Sidamo Province, southern Ethiopia",Thanksgiving Coffee,"Fort Bragg, California",Medium-Dark,8,7,8,8,45/54,"Although co-cupper Christy Thorns (87) felt the Ethiopia citrus and floral notes turned ""somewhat passive"" under the impact of the roast, she praised the ""complex aromatics of ginger, clove and toasted grain"" and a spicy finish. Ken also found spice notes also in the aroma (black pepper, clove), but particularly admired the cup for its round mouthfeel and ""juicy and sweet but vegetal"" character, ""a bit like biting into a ripe plum and tasting the skin and the flesh at the same time."" What we can take away from all of this is a coffee with less floral and citrus character than a classic wet-processed Ethiopia, but with more spice and tingle.",October 2004,October 2004
5875,Kenya Kii Cooperative,89,South-central Kenya,Flying Goat Coffee,"Healdsburg, California",Medium-Dark,8,8,8,8,45/55,"Co-cupper Christy Thorns reduced her score to 89 for this Kenya because she felt its chocolate and spice inclinations were not characteristic of the origin. Ken started at 88 and stayed there. He had no problem admiring the chocolate-inclining sweet citrus character he read in aroma and cup, but felt that ultimately the cup was a bit too simple for a top rating.",October 2004,October 2004
5876,Organic Ethiopia Yirgacheffe,90,"Oromio Cooperative, Yirgacheffe growing region, Sidamo Province, southern Ethiopia",Cafe Campesino,"Americus, Georgia",Medium-Light,8,8,8,8,54/69,A striking and distinctive coffee. Co-cupper Christy Thorns (89) admired its complex aromatics,October 2004,October 2004
5877,Kenya Gaaki Central,90,"Nyeri growing region, south-cental Kenya",Intelligentsia Coffee Roasters,"Chicago, Illinois",Medium-Light,8,8,8,8,56/68,"Ken (91) admired this coffee a bit more than co-cupper Christy Thorns (88), who praised its ""gentle grapefruit-like acidity and a nicely rounded, sweet and berry finish"" but didn't carry on about it much. For his part, Ken particularly admired this coffee's citrus-toned acidity, which he found sweet, rounded, and ""profoundly rich and cleanly and elegantly wine-like.""",October 2004,October 2004
5878,Ethiopian,91,"Yirgacheffe growing region, Sidamo Province, southern Ethiopia",Surf City Coffee,"Soquel, CA",Medium,9,8,8,8,50/67,"For both Ken (90) and co-cupper Christy Thorns (91), extraordinary aroma",October 2004,October 2004
5879,Kenya Peaberry,90,South-central Kenya,Flying Goat Coffee,"Healdsburg, California",Medium-Dark,8,7,8,8,41/52,"Both Ken (92) and co-cupper Christy Thorns (88) remarked on an odd (and for Ken an interesting) character to the aroma. Christy called it ""stewed berry,"" Ken - a rich, almost meaty impression - Dijon mustard and ripe tomatoes.? In the cup Christy found ""the acidity a bit timid, [though] the sugary sweetness of the finish more than compensates."" Ken admired the ""sweet, gently tart fruitiness"" of the acidity, finding it more elegant than timid.",October 2004,October 2004
5880,Ethiopia Yirgacheffe,90,"Yirgacheffe growing region, Sidamo Province, southern Ethiopia",Intelligentsia Coffee Roasters,"Chicago, Illinois",Medium-Light,8,8,8,8,56/70,Co-cupper Christy Thorns' (90) reading was precise and explicit,October 2004,October 2004
5881,Ethiopia Yirgacheffe,91,"Yirgacheffe growing region, Sidamo Province, southern Ethiopia",The Supreme Bean,"North Hollywood, California",Medium-Dark,9,8,8,9,36/48,"The roast takes equal place with the coffee in the success of this darker roasted Yirgacheffe, proving, in co-cupper Christy Thorns' (91) words, ""the amazing roasting range that a fine Ethiopian coffee can withstand."" Christy finds ""stone fruit, licorice, black pepper, citrus, rose petal and lavender"" in the aroma and cup. Ken (90) also admired the rich floral and sweet citrus character.",October 2004,October 2004
5882,Greenwich Blue 100% Jamaica Blue Mountain,86,"Blue Mountain growing region, Jamaica",Greenwich Mountain Estate,"Kingston, Jamaica",Medium,8,7,8,7,45/58,"Low-key, sweetly pungent aroma",September 2004,September 2004
5883,Organic Fair Trade Sumatra,86,"Gayo Mountain growing region, Aceh Province, northern Sumatra",Stone Creek Coffee,"Milwaukee, Wisconsin",Very Dark,8,7,7,7,0/46,"In the aroma liquored and slightly fermented fruit are accompanied by dark chocolate notes, all of which mask hints of coffee oils going slightly rancid. A heavy body with gritty mouthfeel dominates the cup. Long, rather oily finish. (Lindsey Bolger)",September 2004,September 2004
5884,Organic Fair Trade Mexico Pluma Hidalgo,86,"Oaxaca State, south-central Mexico",Counter Culture Coffee,"Durham, North Carolina",Very Dark,7,7,7,8,0/56,A refreshingly medium roast delivers a dry fragrance of crisp linen scented with geranium that develops into wet aromas of spiced chocolate and browned sugar sweetness with wisps of burned match-like sulfur. Pleasing heft and complexity in the cup. A muscular coffee with a surprisingly crisp and clean finish.,September 2004,September 2004
5885,Organic Fair Trade Ethiopian Yirgacheffe,86,"Yirgacheffe growing region, Sidamo Province, southern Ethiopia",The Roasterie,"Kansas City, Missouri",Very Dark,8,7,7,7,0/55,"Intense aromatics of coffee blossom (imagine jasmine, gardenia and lime), laced with milk chocolate, dried orange peel, bees' wax and lemon. While many Yirgacheffes display flourishes of mint, here oregano is the more dominant herbal note. If this coffee is big and robust in fragrance and aroma, the cup is quiet and a bit timid - a contradiction that adds to the appeal of this delicately balanced coffee. (Lindsey Bolger)",September 2004,September 2004
5886,Fair Trade Blend,87,Not disclosed,Peet's Coffee & Tea,"Emeryville, California",Very Dark,8,7,8,7,0/41,"Big, pungent, flame-born phenols boldly emerge in the dry fragrance. In the hot aroma, lush and mouth-watering double chocolate cake. A dense and chewy coffee with an elegant, silky velvet finish - surprisingly sweet for a coffee pushed to its limits during the roast. (Lindsey Bolger)",September 2004,September 2004
5887,Organic Fair Trade Ethiopian Arabian Nights,87,Southern Ethiopia,Caffe Ibis,"Logan, Utah",Dark,8,6,8,8,/36,"Minty and fresh tobacco notes in the dry fragrance. In the hot aroma dry fruit notes of prune and wisps of spicy sweet chocolate. In the cup the dark roasting amplifies body, but mutes many of the attributes specific to this elegant origin. For me this coffee ultimately suggested a lovely old-master painting, sparkling with jewel-toned detail that centuries of darkened varnish have dulled. Nevertheless, it displays the depth and intensity of a well-crafted and classic French roast. (Lindsey Bolger)",September 2004,September 2004
5888,Organic Fair Trade Ethiopian Harrar,88,"Harrar growing region, eastern Ethiopia",Flying Goat Coffee,"Healdsburg, California",Dark,8,7,8,7,37/40,Dry fragrance,September 2004,September 2004
5889,Organic Fair Trade Sumatra Gayoland,88,"Aceh Province, northern Sumatra",Capricorn Coffees,"San Francisco, California",Medium-Dark,8,7,7,8,42/53,"Sweet, rich, with an impressive balance of dry acidy notes and sweetness. A combination of slightly fermented fruit and musty earthiness reads here as a fine intrigue of papaya, raisins and chocolate.",September 2004,September 2004
5890,Organic Fair Trade Ethiopian Yirgacheffe,88,"Yirgacheffe growing region, Sidamo Province, southern Ethiopia.",Green Mountain Coffee,"Waterbury, Vermont",Medium,8,7,7,8,51/66,"Chocolate and delicately intense lemon notes carry decisively from aroma through cup to finish. The cup is integrated and harmonious, with a softly sweet acidity and a slight herby twist to the lemon.",September 2004,September 2004
5891,Organic Fair-Trade National Wildlife Decaf,90,Not disclosed,Green Mountain Coffee,"Waterbury, Vermont",Medium,7,8,8,8,39/67,"Balanced and classic. The acidity is sweet and well integrated, the mouthfeel round and cleanly smooth, the flavor rich and straightforward with coffee fruit (the closest analogy is red cherry) that hints gently at milk chocolate. Long, resonant finish.",September 2004,September 2004
5892,Daterra Farm Espresso: North Italian Style,92,"Cerrado region, Minas Gerais State, Brazil",Terroir Coffee,"Acton, Massachusetts",Medium,8,8							,8,9,54/66,"In the small cup deeply sweet, with a heavy, buttery mouthfeel and carnal fruit tones",August 2004,NA
5893,"Ethiopia Yirgacheffe, Grade 2",90,"Yirgacheffe growing region, Sidamo Province, southern Ethiopia",Moore Coffee,"Ventura, California",Medium-Dark,9,8,6,9,40/54,Delicate and refined aroma,August 2004,August 2004
5894,Thiriku Cooperative Kenya AA Nyeri,92,"Nyeri growing region, south-cental Kenya",Terroir Coffee,"Acton, Massachusetts",Medium-Light,9,8,7,8,55/77,"Bright but sweet, lyrically and complexly high-toned. Lemon, cherry, black currant in the aroma. In the cup cherry, tart berries, sweet grapefruit, even a rounding hint of milk chocolate.",August 2004,August 2004
5895,Java Estate Peaberry,90,Eastern Java,Moore Coffee,"Ventura, California",Medium-Dark,9,7,8,8,38/53,Superb aroma,August 2004,August 2004
5896,Organic/Fair Trade Nicaragua Segovia,86,"Segovia growing region, Nicaragua",New Harvest Coffee Roasters,"East Providence, Rhode Island",Medium-Dark,8,7,7,8,38/45,Deeply roasty in the aroma with grapefruit top notes and apricot and spicy chocolate undercurrents. In the cup sweet and complexly rich with chocolate and a caramelly fruit. A slight sharpness in the cup turns distinctly astringent and bitter in the finish.,August 2004,August 2004
5897,Nicaragua Bourbon,87,"Segovia growing region, Nicaragua",Jesus Mountain Estate,"Stockton, California",Medium-Light,8,7,8,7,56/69,"Deep, rich, quietly complex aroma, with hints of cherry-toned fruit, chocolate, and leather. Loses its smile and turns quite serious in the cup, with a fullish body and powerful but sweet acidity. Once past the aroma, little nuance.",August 2004,August 2004
5898,Nicaragua 15 de Septiembre Organic,87,"San Juan de Rio Coco region, Nicaragua",Flying Goat Coffee,"Healdsburg, California",Medium,8,7,7,8,50/56,"Roundly and sweetly pungent aroma, rich with walnut and cherry-toned chocolate. Simplifies slightly in the cup, but remains buoyant and cherry-toned, a giggly, meadowy sort of coffee. Light-footed but rich finish.",August 2004,August 2004
5899,Nicaragua SHG Guayacan,87,"Segovia growing region, Nicaragua",Our Coffee Barn,"Spring Valley, Wisconsin",Medium-Dark,7,7,7,8,41/51,"Mid-toned, pungent aroma with fresh cedar, cherry, and chocolate-caramel notes. In the cup delicate, roundly sweet, with floral and high-toned fruit notes -- think floral-scented caramels.",August 2004,August 2004
