coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
Espresso Organico,not disclosed,"Very sweet-toned aroma, intense though simple",,,others,medium,SpecialtyJava.com,
Coastal Blue Blend,not disclosed,"An extreme dark roast that preserves impressive depth and complexity. Intense, deeply pungent aroma",,,others,dark,Cafe Vivo,
Bumpkin Espresso,Guatemala; Ethiopia; Brazil; Colombia,"Deep, sweet-toned aroma",,,others,medium,Mango Cafe,
Port of Call, South America,"Very sweet-toned aroma with a muted, pungent complexity","Indonesia,",,others,medium,Island Joe's Coffee,
Zimbabwean Peaberry, Zimbabwe,"Low-toned, deep aroma with a tight-knit complexity","Eastern Highlands,",,others,medium,Leopard Forest Coffee,
Tanzania Peaberry,Northern Tanzania.,"Low-toned and nut-like aroma with a hint of chocolate. In the cup round, simple but resonant, with fruit that carries hints of chocolate, red wine, orange perhaps. Rich and sweet in the short finish, a bit heavy in the long.",,,others,medium,Batdorf & Bronson,
Rwanda AA Rusenyi Bourbon,Rwanda.,"Gentle, balanced, agreeably simple aroma, with distinct floral notes and a hint of milk chocolate. The floral tones carry into a soft, sweet cup with orange and a spice note that could qualify as cinnamon. Flattens a bit in the finish but remains sweet.",,,others,medium,Zoka Coffee Roasters,
La Lucie Zimbabwe, eastern Zimbabwe,"Very sweet throughout the profile. Nut and semi-sweet chocolate notes in the aroma. In the cup tart coffee fruit notes make a distinct and delicate lean toward chocolate. The tart cherry tones persist in the sweet short finish, fading toward astringency in the long.","Chipinge growing region,",,others,medium,Klatch Coffee,
Rwanda Bufcafe,Rwanda.,"Sweet, gently bright, delicately balanced aroma",,,others,medium,PT's Coffee Roasting Co.,
Tanzania Peaberry, northern Tanzania,"Deep, smoky, sweet-toned aroma with cedar and orange tones and an herby note. In the cup medium-bodied with a tickle of acidity, crisply sweet, gently smoky, with continued deep-toned orange or perhaps tangerine tones. The finish continues sweetly roasty and free of astringency.","Mt. Kilimanjaro region,",,others,medium,Texas Roast Premium Gourmet Coffee,
Zimbabwe Pinnacle,Eastern Zimbabwe,"A big, sweetly acidy coffee, with distinct floral and molasses notes in both aroma and cup. The body is medium but the mouthfeel silky and supple. Tart coffee fruit notes in the cup lighten and complicate a slightly tight finish.",,,others,medium,Leopard Forest Coffee,
Tanzanian Gombe Reserve, western Tanzania.,"Dominated throughout the profile by crisp, complex dry berry notes (think blackberries and cedar) with deep, sweet undercurrents of honey and chocolate that emerge with particular clarity as the cup cools. The tart berry notes also carry suggestions of dry, light-bodied red table wines.","Kigoma growing region,",,others,medium,Green Mountain Coffee,
Tanzanian AA Mt. Meru, Northern Tanzania,"The dry, crisply pungent berry character we call black currant gently dominates throughout the profile. In the aroma it takes on a light-red-wine-like character, while in the cup it is enveloped in a quiet background sweetness. Soft acidity, delicate body, simple finish.","Mt. Meru region,",,others,medium,Stockton Graham & Co,
Rwanda Karaba Super Lot 2007 Fair Trade,Rwanda.,"Deeply and sweetly acidy throughout the profile. In the aroma intensely floral with orange, honey and pipe tobacco. In the cup the mouthfeel is syrupy, the acidity cherry-toned and lush. Sweet, rich finish with fine flavor persistence in the short, slight astringency in the long.",,,others,medium,Counter Culture Coffee,
Rwanda Karaba Koakaka Fair Trade,Rwanda.,"Sweet-toned, soft aroma with flickers of flowers, chocolate and pear-like temperate fruit. In the cup quietly acidy, with a richly syrupy mouthfeel and a round, balanced structure. Continued flowers, chocolate and fruit, though in the cup the fruit is more honeyish date than pear. Simple, rich finish.",,,others,medium,Counter Culture Coffee,
Rwanda Bourbon Ingoboka Cooperative,Rwanda.,"Intense, complex but elegant aromatics - flowers, chocolate, butter (or perhaps butterscotch), cherryish fruit - carry from nose through cup into the short finish. The acidity is gentle and balanced, the mouthfeel lean but delicate.",,,others,medium,New Harvest Coffee Roasters,
Espresso Reserve,not disclosed,"Pungent, sweet-toned aroma with banana, honey, chocolate, and a hint of cedar. The pungent cedar notes intensify in the small cup, supported by a deep, enveloping sweetness and viscosity. Here the syrupy honey and banana notes are more felt than tasted, and segue into an impressively long, cleanly resonant finish. In milk the cedar and fruit tighten and simplify somewhat, reading as a crisp semi-sweet chocolate.",,,others,medium,Paradise Roasters,
Ethiopia Biloya Special,Southern Ethiopia,"Intense, sweet-toned, chocolate and blueberry aroma with a slight pungent edge. In the cup sweetly acidy, with a full, syrupy mouthfeel and lavish red wine and blueberry notes. The finish is rich, berry-toned and extraordinarily clean for this style of coffee.",,,others,medium,Paradise Roasters,
Simply Smooth,not disclosed,"Sweet, simple aroma dominated by walnut and neutral wood notes. In the cup lean in mouthfeel with some raisiny fruit in front, but the main sensation is salty wood - think licking driftwood. The salty/sweet theme continues in the finish, though the fruit hangs on, an agreeably soft banana-like sensation. It's difficult to assign a rating to such an oddly woody, lifeless beverage; but it does show sweetness and a little agreeable fruit, hence the 78 as opposed to, say, 60, or 50, or 0.",,,others,dark,Folgers,
Regular Gourmet Low Acid Coffee,Guatemala,"Sweet, woody, simple aroma",,,others,medium,Hevla Coffee Company,
House Blend,not disclosed,"Simple, gently roasty aroma",,,others,dark,Puroast,
Idee Special Stomach Friendly Coffee,not disclosed,"Sweet, delicate, nutlike or carob-like notes and a hint of flowers in the aroma. In the cup medium bodied, with continued sweet nut, prune and carob notes together with agreeably persistent floral nuance. As the cup cools and the aromatics begin to fade a woody, albeit a richly woody, character emerges. Sweet, short finish with a slight, gentle astringency.",,,others,medium,J.J. Darboven,
Sumatra Mandheling, Indonesia.,Intense aroma in a narrow range,"Mandheling growing region, northern Sumatra,",,others,medium,Wood-Fire Roasted Coffee,
Brazil Fazenda Boa Sorte Natural Catuai, Brazil.,"Sweet-toned and rich aroma with some floral notes. In the cup medium body, silky mouthfeel, low acidity, sweet, low-toned, rich, with chocolate notes and a hint of walnut. Rich short finish; the mildly bitterish walnut tones dominate in the long.","Sul de Minas growing region, southern Minas Gerais State,",,others,medium,Victrola Coffee Roasters,
Sumatra Blue Batak, Indonesia,"Very sweet, deep, but delicate orangy fruit in the aroma. In the cup big body and syrupy mouthfeel, very sweet, with pungent grapefruit and moist earth notes. Rich, sweet short finish, slightly astringent and heavy in the long.","Northern Sumatra,",,others,medium,Allegro Coffee,
Sumatra Reserve Fair-Trade Organic, Indonesia,Very rich aroma,"Northern Sumatra,",,others,medium,Green Mountain Coffee,
Brazil Poco Fundo, Brazil.,"A slight, serendipitous hint of sweet ferment complicates the rich fruit, turning it toward a chocolaty, brandyish cherry or orange with a hint of blueberry. The chocolate takes on an almost minty character in the sweet, very low-acid cup. As the cup cools a bare suggestion of bitterness surfaces, the shadow side perhaps of the rich, fermenty sweetness.","Sul de Minas growing region, southern Minas Gerais State,",,others,medium,Barefoot Coffee Roasters,
India AA Elkhill Estate, southern India,"An extraordinarily pure coffee in a dramatically light roast style. Sweet nut, fresh-cut cedar and orangy citrus in the aroma. Medium-bodied and giddily sweet in the cup, delicate but rich, with low, wine-toned acidity, an orange-toned fruit and hints of nut, flowers and chocolate. The complex fruit notes carry into a quietly rich, clean finish.","Coorg growing region,",,others,light,Willoughby's Coffee & Tea,
Ethiopian Shilcho, southern Ethiopia.,Very sweet-toned but crisp aroma,"Sidamo growing region,",,others,medium,Klatch Coffee,
Sumatra Blue Batak, Indonesia,"Deeply pungent, tightly complex aroma","Northern Sumatra,",,others,medium,Klatch Coffee,
Kenyan AA Extra Bold K-Cup,South-central Kenya.,"(As brewed in a Keurig B60 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce and 8-ounce serving sizes)",,,others,dark,Green Mountain Coffee,
Colombian Dark Decaf (Beveo),Colombia,"(As produced in a Beveo concentrate coffee machine at the setting netting the ""strongest"" ratio of coffee concentrate to water)",,,others,medium,Beveo Coffee & Tea,
Kona 10% Blend Extra Bold K-Cup," ""Big Island"" of Hawaii; other undisclosed growing regions.","(As brewed in a Keurig B60 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce and 8-ounce serving sizes)","Kona growing district,",,others,dark,Green Mountain Coffee,
Premium Blend (Beveo), Indonesia,"(As produced in a Beveo concentrate coffee machine at the setting netting the ""strongest"" ratio of coffee concentrate to water)","Colombia; Brazil; Sumatra,",,others,medium,Beveo Coffee & Tea,
Espresso Blend Extra Bold K-Cup,not disclosed,"(As brewed in a Keurig B60 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce and 8-ounce serving sizes)",,,others,dark,Green Mountain Coffee,
Colombian Dark Roast (Beveo),Colombia,"(As produced in a Beveo concentrate coffee machine at the setting netting the ""strongest"" ratio of coffee concentrate to water)",,,others,medium,Beveo Coffee & Tea,
PBS Blend K-Cup, southeastern Mexico,"(As brewed in a Keurig B60 single-serve brewing device using a ""K-Cup"" capsule at a serving size of 6 ounces)","Chiapas State,",,others,dark,Green Mountain Coffee,
Cowboy Roast,not disclosed,Very impressive aroma,,,others,dark,Texas Roast Premium Gourmet Coffee,
Costa Rican Tarrazu, central Costa Rica,"In the aroma roundly and sweetly acidy with floral-toned coffee fruit and a hint of chocolate. In the cup gently acidy, medium-bodied with a smooth, almost syrupy mouthfeel. The aromatics remain simple, dominated by a floral-toned coffee fruit (think tart pie cherries).","Tarrazu growing region,",,others,medium,Gourmet Coffee Shop,
Indonesia Celebes Kalossi, Indonesia,"An extreme version of the traditional musty/earthy coffees of Indonesia, with the musty notes so intense that they seem to push the profile into a realm completely outside ordinary expectations associated with coffee. The earthy mildew character is sharply pungent but sweet throughout, with associations with other pungently sweet sensations, like grapefruit and the fresh smell of tomato vine.","Toraja (formerly Kalossi) growing region, southwestern Celebes (now Sulawesi),",,others,dark,Coffeemaria,
Java Blawan Estate, Indonesia.,"Sweet-toned, mildly pungent aroma","East Java,",,others,medium,Alaska Coffee Roasting,
Sulawesi Toraja, Indonesia,"Deep, rich, opulently sweet-toned aroma","Toraja (formerly Kalossi) growing region, southwestern Celebes (now Sulawesi),",,others,medium,The Roasterie,
Java Blawan Estate, Indonesia.,"A quiet coffee. A subtle aromatic complex runs pleasantly through the profile from aroma through cup, so subtle it's hard to pin down with specific associations","East Java,",,others,medium,Coffee Bean Direct,
Java Blawan Estate, Indonesia.,"A delicate - perhaps overly so - coffee that nevertheless rewards attentiveness to its subtle, complex aromatics","East Java,",,others,medium,Caffe Pronto Coffee Roastery,
Aged Celebes, Indonesia,"A wonderfully sweet coffee whose lush character is balanced (or opposed) by a sharply musty earthiness. Taken together these tendencies read as a pungent citrus, grapefruit perhaps. Full body, very syrupy mouthfeel. Rich and very sweet in the short finish; in the long the musty tones introduce a mild astringency.","Toraja (formerly Kalossi) growing region, southwestern Celebes (now Sulawesi),",,others,medium,Moore Coffee,
Java Estate Pancour, Indonesia.,More Sumatra than Java,"East Java,",,others,medium,Coffeemaria,
Estate Java, Indonesia.,A strikingly distinctive coffee that suffers a bit in the finish. Splendid aroma,"East Java,",,others,medium,Batdorf & Bronson,
Timor Maubesse Fair-Trade,East Timor.,"Almost sugary sweet throughout the profile. Flowers and cedar in the aroma; the floral notes give way to a more pungent, tomatoey fruit and hints of cocoa in the cup. The sweetness carries straight into a rich short finish, fading to a mild astringency in the long.",,,others,medium,Atomic Cafe Coffee Roasters,
Bali Paradise Valley, Indonesia,"Extraordinarily sweet-toned, lyrically delicate coffee, softly acidy, with orange, molasses, flowering grass and white wine notes. Clean, sweet, rich finish. Only a slight stiffening in the finish as the coffee cools holds this coffee back from an even higher rating.","Central Bali,",,others,medium,Morghan Rake Coffee,
East Timor Maubesse Fair-Trade Organic,East Timor.,"Very sweet, almost sugary, with raisiny fruit notes and hints of orange and chocolate carrying with rich stateliness from aroma to cup. Syrupy body, deep, resonant finish.",,,others,medium,PT's Coffee Roasting Co.,
Sumatra Blue Batak, Indonesia,"The aroma is shifting, complex","Northern Sumatra,",,others,medium,Paradise Roasters,
Misty Mornings,not disclosed,"Sweet-toned, deep aroma with gingery cedar and banana- and cherry-toned fruit notes and a hint of lemon at the top. In the cup big bodied, softly acidy, with very sweet, pungent fruit notes - grapefruit perhaps, and a spicy cedar. This deeply complex, quite attractive 90+ profile was marred by one bad cup",,,others,medium,Island Joe's Coffee,
Special Reserve Rwanda Karaba Bourbon, Central Africa,"Sweet, rich, deep, pungently juicy aroma","Gikongoro Province, southwestern Rwanda,",,others,medium,Green Mountain Coffee,
Costa Rica Orginal, central Costa Rica,"Sweet-toned, deeply pungent aroma with cedar and butter notes and a suggestion of bittersweet chocolate. In the cup rather lean-bodied, delicately and cleanly roasty, but with limited nuance","Tarrazu growing region,",,others,medium,Volcanica Coffee,
Blooming Blend,Costa Rica; Guatemala; Ethiopia; Brazil; Java,Superb aroma,,,others,medium,4-Arts Zero Defects Coffees,
100% Kona Extra Fancy," ""Big Island"" of Hawaii","A simple but sweet, deeply resonant coffee with a big, smooth body and chocolate-toned fruit notes that read as a round, banana-inclined milk chocolate in the aroma. In the cup the chocolate turns toward cocoa and the fruit toward a gently tart, cherryish coffee fruit. Rich, straightforward finish with a very slight hint of astringency.","South Kona growing district,",,others,medium,Hula Daddy,
Aged Piko’s Peaberry,Northern Thailand,A quiet but interesting coffee,,,others,dark,Doi Chaang Coffee,
Single Origin Dark Roast,Northern Thailand,"The ultra-dark roast turns mouthfeel lean, but spares us astringency and leaves us with a gently pungent, delicately rich cup with a shimmer of cardamom-toned spice and scorched cedar complication.",,,others,dark,Doi Chaang Coffee,
El Salvador Los Planes Cup of Excellence 2006,El Salvador,"Delicate, gently bright coffee with distinct, cedar-toned dry berry notes (the kind often called black currant) carrying from aroma to cup, support by cocoa, orange (perhaps better, tangerine) and floral nuance. The body is rather light, but the mouthfeel is gently lively, almost effervescent. Clean, rich finish with impressive flavor persistence, particularly of the orange/cocoa notes.",,,others,medium,PT's Coffee Roasting Co.,
Huila El Palacio Colombia, southern Colombia.,"A deeply floral-toned coffee. The floral tones are rich and rose-like in both aroma and cup, with caramelly, almost custard-like support and hints of cedar and cocoa. The finish is sweet, deep and long.","Huila Department,",,others,medium,PT's Coffee Roasting Co.,
Black Phantom Decaf Espresso,not disclosed,"Deeply rich aroma with fruity chocolate and cedar complication. In the small cup the cedar notes dominate, backgrounding the chocolate and fruit. Full body but slightly rough mouthfeel; rich and slightly sharp in the short finish, but in the long smoothes out nicely with a final memory of chocolate. The cedar and chocolate carry into milk, the cedar dominating but the chocolate-fruit side blooming nicely.",,,others,dark,Atomic Cafe Coffee Roasters,
"Organic Fair-Trade Espresso, Swiss Water Decaf",not disclosed,"Rather delicate, toasty aroma with hints of low-acid fruit - banana, chocolate. In the small cup medium to full body, with a crisply smoky, toasty character complicated by caramel and continued banana notes and a hint of flowers. The finish stays just on the rich side of rough. Rounds and blossoms in milk but remains roasty - think chocolate on toast - with a continued lean toward a banana-like fruit.",,,others,dark,The Roasterie,
Transatlantic Decaf,not disclosed,"A tough, robust espresso. Sweetly and roundly smoky aroma with hints of semi-sweet chocolate. In the small cup full body with slightly rough mouthfeel, simple and richly pungent with continued hints of dark chocolate and a surprisingly clean, sweet finish. At its best in milk, where the semi-sweet chocolate rounds and dominates with minty richness.",,,others,dark,Mud Bay Coffee,
Decaf Espresso Roast,not disclosed,"Lush in flavor but slightly lean in body and presence. Elegant blueberry- and chocolate-toned nose with a hint of cedar. In the small cup medium-bodied with a touch of sweet acidity and continued berry, cedar and dark chocolate notes. A bit thin-presenced in milk, though the sneakily persistent dark-chocolate, cherry-brandy opulence stays around nicely.",,,others,medium,Don Francisco's Coffee,
Dancing Goats Decaf,not disclosed,"Sweet-toned, very deep aroma with complication that reads as banana, orange, semi-sweet chocolate. In the small cup full bodied and cedar- and caramel-toned with continued suggestions of banana-like fruit and semi-sweet chocolate. The cedar and chocolate tones round and sweeten in milk without losing their crisp authority.",,,others,dark,Batdorf & Bronson,
PT’s Decaf Espresso Blend,Latin America and Indonesia,"Balanced, versatile blend. Sweet-toned aroma with fruit and chocolate complications. In the small cup smooth and close to syrupy in mouthfeel, sweet and gently pungent with a pronounced cedar note and hints of prune and semi-sweet chocolate. Rich presence in milk - perhaps more cedar and mint than chocolate but roundly sweet nonetheless. Very slightly rough finish in both small cup and milk.",,,others,dark,PT's Coffee Roasting Co.,
RayJen Roasters Reserve Decaf Espresso,not disclosed,Deep but crisp aroma with impressive complexity,,,others,medium,RayJen Coffee,
Detroit St. Decaf,Guatemala,"A versatile espresso with a pungent authority that should serve particularly well in big milk drinks. Slightly spicy, apricot- or mango-toned fruit in the deeply sweet-impressioned aroma. In the small cup displays full, syrupy body and a rather opulently sweet, chocolate-toned richness with a balancing cedar pungency. Slight astringency in the long finish. In milk rounds and blossoms nicely but dominates with semi-sweet chocolate authority and a slight but discernible astringent edge in the finish.",,,others,dark,Zingerman's Coffee,
Fieldheads Espresso Decaf,not disclosed,"A quiet, complete espresso, short on drama but almost flawless in detail. Delicately complex aroma, with crisp chocolate and cedar and butter notes that together read much like butterscotch. In the small cup medium-bodied but very smooth in mouthfeel with almost no astringency and a sweet, chocolaty fruit and gentle cedar. Delicate but very sweet in milk with continued crisp chocolate and cedar notes and a cleanly rich finish.",,,others,dark,Fieldheads Coffee,
"Decaf Espresso, Costa Rica La Lapa",Costa Rica,"Crisp, elegant espresso with dry berry and floral notes. Shows a hint of sweet, tomato-toned acidity in the aroma along with caramel and flowers. In the small cup surprisingly full-bodied with cedar, dry berry and a continuing shimmer of flowers. Clean, rich finish. Masters milk with a delicate, dry-chocolate-toned authority. The floral notes survive with startling clarity in milk, persisting far into the finish.",,,others,medium,Terroir Coffee,
SWP Decaf Espresso,Guatemala and the Yirgacheffe growing region of southern Ethiopia,"Sweet-impressioned, deep aroma with a wonderfully candied, chocolaty tone to the fruit. In the small cup medium in body but smooth in mouthfeel with a deep cedar and continued candied fruit character. Surprisingly crisp, citrusy finish. Gentle and balanced in milk, blooming with milk chocolate and flowers, quiet but complete.",,,others,dark,Portland Roasting,
Decaf Roastmaster’s Choice Espresso,Central America and Africa,"A fine fruity-fermented style espresso in decaffeinated format. The sweet fermented fruit notes (I would guess from a dried-in-the-fruit East African green coffee component) read as blueberry with chocolate and ripe banana tones in both aroma and small cup. Excellent body, rich chocolate in the finish. A slight salty sensation that often accompanies fruity ferment hardly matters in the small cup, but seems to dampen sweetness in milk, where this exciting espresso doesn?t quite live up to its full chocolate-blueberry promise.",,,others,medium,Fidalgo Bay Coffee,
Decaf Organic Caffe Volcan,not disclosed,"A fine, versatile decaffeinated espresso particularly remarkable for its persistent floral top notes. In the aroma flowers, chocolate and apricot-toned fruit. In the small cup full body with perhaps a slightly rough mouthfeel, pungent, rich and balanced, with continuing semi-sweet chocolate and floral notes that carry into the finish. Blooms nicely in milk with minty chocolate sweetness while still maintaining the attractive floral and fruit complication.",,,others,medium,The Supreme Bean,
Natural Decaf Espresso,not disclosed,"A powerful, fruitily complex, syrupy-bodied espresso. Candied fruit and distinct chocolate in the aroma. In the small cup heavy bodied; cedar and orangy fruit notes dominate, with a hint of semi-sweet chocolate. At its best in milk, where it is rich, smooth-bodied and balanced, while maintaining a remarkable complexity and a distinct chocolate and spicy orange fruit character.",,,others,dark,Caribou Coffee,
Kenya AA Gitugu Muranaa,South-central Kenya,"Quietly intense aroma, softly and sweetly high-toned, dry berry notes. In the cup medium-bodied with a silky mouthfeel, with the mild acidy edge and tart dry berry notes enveloped in sweetness, netting a floral, Riesling-like buoyancy.",,,others,medium,Paradise Roasters,
Colombia Timana,Colombia,"Round, rich aroma with distinct butter notes and hints of flowers and lemon. Simplifies in the cup",,,others,medium,Caribou Coffee,
"Organic Bolivian Coffee, Cumbre Supremo, New England Light Roast",Bolivia,"Superb, richly sweet-toned aroma",,,others,medium,Cafe Valverde,
"Organic, Fair-Trade Bolivia Caranavi", Bolivia,"Soft, sweet-toned aroma with limited but pleasing nuance","Caranavi region, north of La Paz,",,others,medium,Counter Culture Coffee,
Colombia Huila Supremo, southern Colombia.,"Crisply sweet-toned aroma with cedar and butter notes. In the cup silky mouthfeel and a quiet, tight-knit complexity","Huila Department,",,others,medium,Zoka Coffee Roasters,
Tres Santos Colombia, western Colombia,"Sweet-toned aroma with delicate floral-, cherry- and chocolate-toned fruit notes. In the cup more striking for its superb body and balanced structure than for its agreeable but limited nuance, a dry cherry-chocolate. The long, deep finish stays just on the rich side of astringent.","Valle de Cauca Department,",,others,medium,Intelligentsia Coffee,
Peru Cochapampa Fair-Trade, south-central Peru,"Rather thin aroma, with semi-sweet chocolate hints. In the cup the chocolate turns explicit, crisp and pleasantly cocoaish. The finish is surprisingly rich, with continued cocoa tones and a hint of flowers. The cup generally relaxes and plumps up as it cools.","Quillabamba region,",,others,medium,Flying Goat Coffee,
Colombia Cup of Excellence Lot #8 Hato Viejo, southern Colombia,"Very sweet-toned aroma with orange and pipe-tobacco notes. In the cup rich, wine-like acidity, syrupy mouthfeel, and a delicate yet rich structure with continued orange and fresh pipe-tobacco notes. Rich, long, sweet finish.","Narino Department,",,others,light,Torreo Coffee Roasters,
Pitalito Estate Colombian Supremo, southern Colombia,"Pungent, buttery aroma with subtle but persistent floral notes. The cup is deep-toned and balanced, with syrupy body and continued floral top notes and buttery, chocolaty mid-notes. The elusive floral notes persist impressively in the long, rich finish.","San Agustin growing region, Huila Department,",,others,medium,The Roasterie,
Colombia Las Hermosas Medium Roast, south-central Colombia,"Sweet, delicate, floral-toned aroma with hints of lemon and a buttery chocolate. Reveals weight and power in the cup, with a rich acidity with continued floral, lemon and butter notes. Clean, rich finish.","Southern Tolima Department,",,others,medium,Reunion Island Coffee,
Huila Typica San Agustin, southern Colombia,"Sweetly tart aroma complicated by coffee fruit (think pie cherries) and hints of cedar and cocoa. The cup is dominated by a giddily sweet, buoyantly intense acidity with continued notes of fresh coffee fruit and flowers. Short but rich finish.","San Agust?n growing region, Huila Department,",,others,medium,Torreo Coffee Roasters,
Colombia Tolima Cup of Excellence Presidential Award Winner El Placer, south-central Colombia,"Sweet-toned and alive with a dense, shifting complexity. Cedar, orange, distinct butterscotch, tomato, perhaps chocolate in the aroma. In the cup low-toned acidity and lightly syrupy in mouthfeel, with an almost sugary sweetness and tight-knit notes of butterscotch, caramel, honey, ripe but slightly tart orange. Rich and sweet in the short finish, though a slight hint of astringency surfaces in the long.","Tolima growing region,",,others,medium,Terroir Coffee,
Colombia Hato Viejo Cup of Excellence, southern Colombia,A classic cup,"Narino Department,",,others,medium,Atomic Cafe Coffee Roasters,
Colombia El Castillo Micro-Lot Nelson Melo, southern Colombia.,"An aromatically rather simple coffee with a tremendous relaxed and almost voluptuous structure. In the aroma low-toned and round with hints of flowers and cherry-toned fruit. Softly acidy and sweetly and deeply rich in the cup. Sweet, almost sugary finish.","Cauca Department,",,others,medium,Alterra Coffee Roasters,
"Colombia Cauca, Special Micro-Lot Selection Juvenal Penna", southern Colombia.,"Sweet-toned, quietly complex aroma","Cauca Department,",,others,medium,La Golondrina by Counter Culture Coffee,
Colombia Huila Supremo, southern Colombia.,"Quietly intense aroma, cedar and distinct butterscotch notes. Plushly heavy body in the sweet, deep-toned cup, with almost port-like red wine tones and rich hints of semi-sweet chocolate and roses anchored on a flinty, almost mineral-like base.","Huila Department,",,others,medium,Klatch Coffee,
Colombia Tolima Reynel Perez Micro-Lot, south-central Colombia,Exhilaratingly intense but roundly sweet-toned aroma,"Tolima growing region,",,others,medium,Paradise Roasters,
PBS Blend Organic Fair-Trade, southeastern Mexico,"Rich, simple aroma","Chiapas State,",,others,medium,Green Mountain Coffee,
Mocha Java, Indonesia,"Sweet, deep aroma with considerable intrigue","Yemen or Harrar region of Ethiopia; Java,",,others,medium,Green Mountain Coffee,
Kenya AA,South-Central Kenya,"Intense, complex, yet balanced aroma",,,others,medium,Dilworth Coffee,
Morning Cafe,not disclosed,"Pungently sweet, cedary, faintly sewerish-fermented aroma. In the cup neutral, sweet, very simple, with hints of walnut and continued composty ferment. Cleans up a bit in the finish. Considerable difference from cup to cup, with some cups more fermented than others.",,,others,dark,Folgers Gourmet Selections,
Yuban Organic,not disclosed,"Cloyingly sweet, earthy/mildewed character with very distinct grassy notes.",,,others,dark,Yuban,
MJB Premium Coffee,not disclosed,"Sweet wood and vegetal cocoa in the aroma. In the cup flatly bittersweet, continued woody, with a hint of vegetal cocoa that stays just on the cocoa side of rubbery. Simple, short, salty/sweet finish.",,,others,dark,MJB,
Maxwell House Original,not disclosed,"Very sweet aroma, with nut and perhaps slight floral and chocolate notes. In the cup cloyingly bittersweet wood and nut robusta character with continued faint chocolate and floral suggestions.",,,others,dark,Maxwell House,
"Yuban Original, 30% Rainforest Alliance Certified",not disclosed,"The aroma is sweet but neutral and thin, with wood, caramel and nut notes. In the cup caramelly with a hint of cedar, but dominated by a cloyingly sweet nut character, the calling card of inexpensive coffees of the robusta species.",,,others,dark,Yuban,
French Roast,not disclosed,"Smoky aroma dominated by scorched cedar notes with hints of spice and orange. In the sharply pungent, faintly sweet cup all grace notes vanish with the exception of the smoky, scorched cedar. Good sweetness in the short finish, with only slight astringency in the long.",,,others,dark,Millstone Coffee,
Great Value 100% Arabica, Colombia,"Rather subdued aroma, but quite sweet and deep, with floral, semi-sweet chocolate and cherry hints. Continued round and deep in the cup, with distinct semi-sweet chocolate notes and a slight woody, herby edge. The round richness carries into the short finish but gives way to a shallow, salty woodiness in the long.","Brazil, Central America,",,others,dark,Wal-Mart Stores,
Sumatra, Indonesia,Attractive aroma,"Northern Sumatra,",,others,dark,Starbucks Coffee,
Lively Colombian,Colombia,"Sweet, round but crisp profile. Attractive nuance in the aroma - raisin, cedar, pipe tobacco, a hint of chocolate - fades quickly in the cup, leaving behind only the faintest shimmer of floral-toned chocolate. Sweet, distantly chocolate-toned finish, but quite astringent in the mouthfeel.",,,others,dark,Folgers Gourmet Selections,
Kona Coffee Blend Light Roast,The Kona growing region of the Big Island of Hawaii and other undisclosed origins.,"Subdued, sweet-toned aroma",,,others,dark,Millstone Coffee,
African Kitamu,East Africa.,"A very interesting profile, shallow in depth of sensation but intensely complex within that narrow range. Crisply roasty but lively aroma with sweet apple and floral-toned chocolate notes. Continued roasty in the cup with distinct, sweetly lemony fruit and continued hints of flowers and chocolate.",,,others,dark,Starbucks Coffee,
Major Dickason’s Blend,not disclosed,"Very rich, deep, balanced aroma with hints of cedar, orangy fruit and semi-sweet chocolate. Rather fat-bodied in the cup, with continuing hints of flowers, dark chocolate, and a pungent citrus that I read as grapefruit. A distractingly sharp, astringent mouthfeel rounds and softens as the cup cools, but continues to dominate in the finish.",,,others,dark,Peet's Coffee & Tea,
Between Roast,not disclosed,"A quiet, sweetly rounded coffee. Cherry and a hint of chocolate in the aroma, softly acidy and rather full-bodied in the cup, with candied walnut, cacao and pipe tobacco notes. Simple, gently rich finish.",,,others,dark,Community Coffee,
Brown Gold,Colombia,"Intense aroma vivid with tart cherry notes and hints of chocolate and tomato. Big, giddily sweet acidity with continued pie cherry notes with a lush lean toward chocolate. Very slightly astringent in the long finish.",,,others,dark,Brown Gold,
Organic Ethiopian Yirgacheffe, southern Ethiopia.,"Pungently bittersweet, rather austere coffee. Deep aroma, with tomato and rosemary notes and perhaps some semi-sweet chocolate. In the cup, rich, simple, bittersweet with continued tomato, Mediterranean herb and semi-sweet chocolate notes.","Yirgacheffe growing district,",,others,medium,Green Mountain Coffee,
Kenyan AA,Central Kenya,A coffee at once voluptuous and austere. Delicately complex aroma,,,others,medium,Green Mountain Coffee,
Panama La Esmeralda Geisha, western Panama,"Very sweet-toned, exquisitely balanced aroma with floral, candied lemon and sweet herb notes. In the cup intense, tartly sweet acidity and buoyant mouthfeel with white wine and continued sweet lemon notes. The barest hint of chocolate in the cup blooms with soft explicitness in the surprisingly sweet finish. The cup stiffens ever so slightly as it cools.","Boquete growing region,",,others,medium,Green Mountain Coffee,
El Salvador Santa Sofia,El Salvador,"Dark chocolate and caramel in the aroma. Luscious body, cherry-laced dark chocolate in the cup.",,,others,medium,Paradise Roasters,
