coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
Stronghold,Brazil,Origin,,,,Nutty Chocolate Molasses Caramelized Vanilla
Costa Rica Santa Anita Estate,Colombia,On The Grind,,,,Floral
Brazil Decaffeinated,Brazil,Lost Barn,,,,Tobaco Nutty  Cocoa Honey Vanilla Sweet
Smokey Bird Espresso Blend,Colombia,Pelicano,,,,Molasses Caramelized Sweet Berry Other  Fruit
Jasmine Coffee Beans,Colombia,Cafezinho,,,,Cinnamon Spices Dried  Fruit Cherry Whiskey
Guatemalan Single Origin,El Salvador,Roasting Plant,CaturraBourbon,Natural,Medium,Brown  Sugar Sweet Floral Berry Cherry Fruity
La Colina | Guatemala,Guatemala,Notes,CastilloColombiaCaturra,Washed,Medium,Nutmeg Spices Chocolate Sweet Berry Lemon Citrus  Fruit
The Thumper Decaf – Colombia San Lorenzo,Guatemala,Hot Numbers,Tabi,Decaf,Medium,Honey Blueberry Sour  Aromatics Fresh
Mexico | Finca Muxbal,Colombia,Coldblow,ArabicaRed Catuai,Honey,Medium,Chocolate Molasses Orange
Santa Joana - Brazil,Mexico,Kofra,SL-14SL-28,Honey,Medium,Peanuts Chocolate Cocoa
Uganda Bukonzo Fto,Brazil,Luckie Beans,Colombia,Washed,Dark,Sweet  Aromatic Peach Lime
Colombia Fernilee: Colombian Natural Decaf,Uganda,Seamoor,Robiaceae Coffea,DecafNatural,Light,Roasted Almond Vanilla Strawberry Citrus  Fruit
Chelelektu Natural,Colombia,Coffee Real,Colombia,Natural,Medium,Caramelized Strawberry
"Colombia Macizo Del Guarapos, Huila",Ethiopia,Inverness Coffee Roasting Co.,Ethiopia / Sudan Assesion,Natural,Light,Smoky Burnt
Sidamo,Colombia,Stirling Coffee,IHCAFE 90,Natural,Medium,Molasses Lemon Citrus  Fruit
Honduras - Nely Suyapa Orellanas,Ethiopia,Leicester Coffee House,Yellow Bourbon,Natural, Dark,Chocolate Vanilla Strawberry Orange
Espresso Trio,Honduras,Origin,Robiaceae Coffea,Natural,Medium,Honey Vanilla Sweet Pineapple Other  Fruit Grapefruit
The Americas,Brazil,Devon Coffee Company,Ethiopia / Sudan Assesion,Washed,Light,Cinnamon Spices Berry Fruity Musty  Earthy
"Pantan Musara, Sumatra",Indonesia,Campbell & Syme,SL-34SL-28,Natural,Medium,Sweet Berry Pineapple
Ethiopia Uraga,Ethiopia,The Roasting Project,SL-34SL-28,Washed,Medium,Chocolate Honey Apple
Tiamo K02  Paper - Natural,Kenya,Cairngorm,Catimor / AtengSL-28,Washed,Medium,Cinnamon Apple
"Kigwandi, Kenya",Kenya,Obadiah,Bourbon,Washed,Dark,Chocolate Caramelized Grapefruit Citrus  Fruit Fruity
Gerald Njagi,Malawi,Red Bank,Bourbon,Washed,Dark,Molasses Caramelized Sweet Floral Pineapple Peach Other  Fruit Grapefruit Citrus  Fruit
Malawi - Pamwamba Estate Aa,El Salvador,On The Grind,CaturraBourbonCatuaiSan Ramon,Natural,Dark,Roasted Chocolate Honey Sweet Other  Fruit Citrus  Fruit Fruity
El Salvador Los Luchadores ( The Fighter ) Washed Double Soaked,Rwanda,Sabins,Caturra,Washed,Medium Light,Chocolate Nutty  Cocoa Floral Raisin
Rwanda | Huye Mountain,Guatemala,Hundred House,TypicaCatuaiHybrido de TimorS795,"DecafWashed, Swiss Water",Light,Chocolate Dried  Fruit Grape
La Danta,Peru,Smith Street,Arabica,Honey,Light,Maple  Syrup Caramelized Other  Fruit Citrus  Fruit
Glasshouse Light,Indonesia,Redroaster,Ethiopia / Sudan AssesionAgaroGimmaRobiaceae Coffea,"Natural, Monsooned",Dark,Spices Sweet
Holy Grail,Timor,Pilgrims Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Dark,Cocoa Berry Citrus  Fruit Fruity Sour  Aromatics Fresh
Indian Monsooned Malabar,India,Kaffee Culture,Robiaceae Coffea,Washed,Light,Hazelnut Caramelized Vanilla Sweet
Ethiopia Beshasha,Ethiopia,Ristretto,PacasCatuai,"DecafWashed, Sparkling Water (CO2)",Dark,Almond Caramelized Cherry
Ethiopia Yirgacheffe Coffee Farmers Cooperative Union,Ethiopia,Farm To Home,Colombia,Washed,Medium,Brown  Sugar Vanilla Sweet Dried  Fruit Coconut Other  Fruit Whiskey Fermented
Central American Decaf Blend,North & Central America,On The Grind,Robiaceae CoffeaCatuai,"DecafWashed, Sugarcane (E.A.)",Light,Raspberry Pineapple
Honduras Finca Los Mangos,Honduras,Island Roasted,Kent,Natural,Dark,Nutty Chocolate Citrus  Fruit
Legoman (decaf),Colombia,Cartwheel,CastilloColombia,Washed,Light,Chocolate Caramelized Raisin Dried  Fruit Whiskey
Development - House Espresso,Brazil,Craft House Coffee,Robiaceae Coffea,Washed,Medium,Chocolate Caramelized Sweet Other  Fruit
Wake The Bishop,Ethiopia,Argyll Coffee Roasters,KumieDeiga/Dega,"DecafWashed, Sugarcane (E.A.)",Dark,Hazelnut Chocolate Cherry Citrus  Fruit
Cuban,Tanzania,Stirling Coffee,CaturraBourbonCatuai,Honey,Medium,Brown  Sugar Dried  Fruit Orange
"Magdalena Decaf, Colombia",Brazil,Garage Coffee,Yellow Bourbon,Washed,Medium Dark,Chocolate Caramelized Sweet Other  Fruit
Capra,Cuba,Whole in the Ground,CaturraTypicaArabica,Washed,Dark,Nutty  Cocoa Vanilla
"Ashaninka, Fully Washed, Peru",Colombia,Outpost,KumieWilshoDeiga/Dega,Washed,Medium,Dark  Chocolate Nutty  Cocoa Maple  Syrup Vanilla Grape
Ethiopian - Single Origin Coffee - Grade 1 - Ethiopia - Natural Yirgacheffe,Ethiopia,Sidewalk Coffee,CastilloColombiaCaturraTypica,Natural,Dark,Chocolate Sweet Prune Lemon Citrus  Fruit
Captain'S Grog - Vintage Rum Infused Guatemalan Coffee,Peru,Bean Brothers,Robiaceae Coffea,DecafWashed,Green,Sweet Fruity Winey
Brasil Mantiquiera De Minas Natural,Ethiopia,Yellow Bourbon,CastilloColombiaCaturra,Natural, Dark,Chocolate Nutty  Cocoa Cherry Pineapple Other  Fruit Grapefruit Orange Citrus  Fruit Fruity
Colombian Mountain Water Decaf,Guatemala,47 Degrees,Kaffa,"DecafWashed, Swiss Water",Light,Malt Chocolate Citrus  Fruit Fruity
Ethiopia Yirgacheffe Koko Natural,Brazil,Kaffee Culture,Ethiopia / Sudan AssesionGimmaRobiaceae CoffeaKaffa,Natural,Medium,Dark  Chocolate Caramelized Raspberry Salty
Swiss Water Decaf Espresso,Colombia,Outpost,CastilloColombiaCaturra,Washed,Medium Dark,Almond Nutty Sweet Citrus  Fruit Fruity
Kennisa,Ethiopia,Atkinsons,CaturraBourbonCatimor / Ateng,Natural,Medium,Roasted Hazelnut Honey Raspberry
Guest Coffee Rwanda (natural),Colombia,Colombia Coffee Roasters,Red Bourbon,Natural,Medium,Honey Sweet
Colombia Comepcafe Washed Single Origin,Ethiopia,Bailies Coffee,CastilloMundo NovoCaturra,Washed,Medium,Hazelnut Cocoa Sweet Cherry
#00y - Yemeni ***now Reduced***,Rwanda,Lars & Margo,Bourbon,DecafWashed,Medium,Vanilla Rose Floral Berry
Ethiopia — Nesru Aba Nura,Colombia,Assembly,SL-34SL-28,Washed,Medium,Maple  Syrup Floral Lemon
Sumatra Mandheling,Yemen,Indy Coffee,ColombiaRobiaceae Coffea,Washed,Light,Apple Pear Citrus  Fruit
Anvil Ethiopian Yiragacheffe Adado - Fully Washed - Micro Lot,Ethiopia,Anvil,CastilloColombiaCaturra,Washed,Medium,Grain Pepper Spices Dark  Chocolate Raspberry Berry Citrus  Fruit
Colombia - I ❤ Decaf,Indonesia,Hard Lines,ColombiaCaturra,Natural,Dark,Honey Vanilla Blueberry
Mexico Oaxaca,Ethiopia,On The Grind,ColombiaTypica,Washed,Dark,Tobaco Malt Cereal Clove Chocolate Vanilla
Burundi Masenga Hill - Lot 27,Colombia,Rockhill Brothers,Caturra,Washed,Medium,Cereal Caramelized Sweet Other  Fruit
Industrial - House Espresso,Mexico,Craft House Coffee,ArushaBlue Mountain,Washed,Light,Nutty Chocolate Sweet Cherry
Kinini Natural,Burundi,Atkinsons,JARC 74110JARC 74112,Washed,Light,Floral Citric  Acid
Kenya – Mwiria Ab,Colombia,Footprint Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Dark,Hazelnut Caramelized Pear
Organic Glasshouse Blend,Rwanda,Redroaster,CaturraBourbon,Washed,Medium,Sweet Apple Fresh
"Totoro, Colombia (espresso)",Kenya,Machina,Typica,Natural,Medium,Chocolate Dark  Chocolate Nutty  Cocoa Sweet Cherry Orange
Colombian,Peru,Welsh Coffee,Gesha / Abyssinia,DecafWashed,Medium,Tobaco Anise Sweet  Aromatic Herb like
La Mazateca Tejao,Colombia,Crankhouse Coffee,CaturraBourbonSan Ramon,Washed,Dark,Molasses Caramelized Sweet Floral Floral Citrus  Fruit
Roasters Blend,Colombia,Strangers,CaturraBourbonTypica,Washed,Medium Light,Molasses Caramelized Berry
Raw Green Papua New Guinea A/X Korofeigu Coop,Colombia,On The Grind,Robiaceae Coffea,Washed,Medium,Floral Floral Coconut Grape Peach Lime
Odo Shakiso,Mexico,Cartwheel,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,Sweet Floral Floral Berry Other  Fruit Citrus  Fruit
Choc Cherry Decafalon Decaf Coffee,Colombia,Coffee Wanchors,Bourbon,Washed,Medium,Malt Pepper Spices Chocolate Caramelized Sweet
Pacific Rescue - San Pancho Turtle,Colombia,Coffee Real,CastilloColombiaCaturra,Natural,,Caramelized Floral Floral Raspberry
Peru Gonzilla,Papua New Guinea,On The Grind,Colombia,Washed,,Vanilla Coconut Pineapple Grape Apple Fresh
Costa Rica Batamba Geisha,Ethiopia,Kaffee Culture,USDAS795,"DecafWashed, Sparkling Water (CO2)",,Cocoa Honey Sweet Berry Pineapple Grape Other  Fruit
El Patio - Guatemala,Ethiopia,Hometown,Selection 9S795,Washed,,Caramelized Berry Grape
Galápagos Finca El Cafetal,Peru,Luckie Beans,Red Bourbon,Washed,,Hazelnut Chocolate Floral Floral Citrus  Fruit
Ethiopia – Egata Beshu,Costa Rica,Hot Numbers,Ethiopia / Sudan AssesionRobiaceae Coffea,"DecafWashed, Swiss Water",,Vanilla Black  Tea Floral Apple Other  Fruit Fruity Fresh
Special Edition Brazil Dbarbosa,Ecuador,Bean Coffee,Mundo Novo,Natural,,Roasted Spices Floral Floral Winey
Peru Tunki Coffee,Ethiopia,Winchester Coffee Roasters,Robiaceae Coffea,Washed,,Cinnamon Nutty Dark  Chocolate Vanilla Sweet Prune Citrus  Fruit
English Afternoon Decaffeinated Black Tea,Ethiopia,Two Dogs,Castillo,Natural,,Dark  Chocolate Cocoa Molasses Caramelized Vanilla Apple
Peru – Pedro Garcia Diaz,Brazil,Footprint Coffee,Gesha / Abyssinia,Natural,,Spices Sweet Peach Lemon
"Planadas, Colombia",Peru,Wolfox,Castillo,Natural,,Caramelized Berry
Lazy Afternoon - Half Caff Coffee Blend,Peru,Black Cat Coffee,Robusta,Natural,,Nutmeg Spices Chocolate
"Rantekarua, Indonesia. Pre-Order, Delivery From 12/09/22",Colombia,Roasting House,Bourbon,Honey,,Chocolate Peach Other  Fruit
Gems Of Araku India,Brazil,Littlestone,CaturraTypicaArabicaCriollo,Natural,,Floral Floral Peach Lime
Buf Nyarusiza Nzeyimana - Rwanda,Colombia,Hometown,SL-28,Washed,,Fruity Fresh
Natural Pilgrim,Indonesia,Department of Coffee,Mundo NovoBourbonRobiaceae CoffeaCatuai,Natural,,Chocolate Berry Orange Citrus  Fruit
Bookkisa,India,Blossom,Arabica,Honey,,Nutty Chocolate Cocoa Nutty  Cocoa Vanilla Sweet Floral
Fazenda Calil,Rwanda,Fortitude,PacasBourbon,Natural,,Brown  Sugar Floral Floral Grapefruit Citrus  Fruit
Gato Bandido - Blend,Ethiopia,Coffee Gems,CastilloColombiaCaturra,Washed,,Molasses Rose Fruity Winey
French Roast,Ethiopia,Bad Hand Coffee,ColombiaRobiaceae Coffea,Honey,,Spices Almond Vanilla Sweet Raisin
Mella  Blend,Brazil,Bailies Coffee,,Natural,,Roasted
"La Bolsa Finca, Guatemala",Kenya,Simba Bru,,Natural,,Fruity Sour  Aromatics Winey Fresh
Colombian Supremo,Honduras,On The Grind,,Washed,,Nutty Cocoa Orange
Rare And Unique Series | Finca Inmaculada Gesha,Ethiopia,Curve,,Washed,,Hazelnut Nutty Chocolate Caramelized Vanilla Sweet Lemon Citrus  Fruit
"Yenni, Thermal Shock Castillo, Colombia",Kenya,Outpost,,,,Nutty  Cocoa Caramelized Vanilla Orange Citrus  Fruit
Vietnam - Wet Polished Robusta,Colombia,Two Dogs,,,,Raspberry Grapefruit
Foundry No. 1,Ethiopia,Ouseburn Coffee Co,,,,Chocolate Caramelized Sweet Orange
Bolivia Union Pro-Agro Cafe Femenino - Washed,Guatemala,Dark Woods,,,,Spices Chocolate Vanilla Sweet Lemon Citrus  Fruit
"Finca El Venado, West Valley - Costa Rica",Colombia,Coffee Gems,,,,Roasted Anise Spices Vanilla Berry Fresh
Blackwall Estate Espresso | Brazil,Colombia,Notes,,,,Chocolate Blackberry Berry Grape Winey
Rwanda - Single Origin,Colombia,Coffee Novice,,,,Vanilla Blueberry Strawberry Orange
El Salvador La Carbonera,Vietnam,Lost Barn,,,,Dark  Chocolate Caramelized Brown  Sugar Other
Cali Crash · Single Origin Colombian Coffee,El Salvador,5 Rings,,,,Anise Nutty Dark  Chocolate Cocoa Sweet  Aromatic Herb like
Indonesian Java 'Old Brown',Indonesia,Two Dogs,Java (Cultivar),Washed,Medium Dark,Molasses Caramelized Orange Sour  Aromatics Fresh
Decaf: Colombia: Montes Tatama - Single Origin - 100% Arabica - Sugar Cane Process - Newly Arrived,Colombia,Rinaldo's Coffee,CastilloColombiaCaturraBourbon,"DecafWashed, Sugarcane (E.A.)",Medium,Berry Other  Fruit Lemon
"Ethiopia, Hambella",Ethiopia,Weanie Beans,Ethiopia / Sudan Assesion,Natural,Dark,Nutty  Cocoa Caramelized
Espresso - Single Origin,Brazil,Flying Horse,Yellow Bourbon,Natural,Medium,Caramelized Apple Grapefruit Fresh
Ethiopia Yirgacheffe Dumerso,Ethiopia,Luckie Beans,Robiaceae Coffea,"DecafWashed, Sugarcane (E.A.)",Dark,Hazelnut Nutty Dark  Chocolate Sweet
Ethiopia Haru,Ethiopia,UE Coffee Roasters,Ethiopia / Sudan Assesion,Washed,Light,Vanilla Pineapple Other  Fruit Grapefruit
El Carmen Decaf,Brazil,Crankhouse Coffee,ColombiaRobiaceae Coffea,Washed,Medium,Caramelized Brown  Sugar Cherry
Oonagh,Colombia,Causeway,Lempira,Washed,Light,Hazelnut Sweet Other  Fruit Lemon
Faith,Vietnam,Blossom,Ruiru 11SL-34SL-28,"DecafWashed, Swiss Water", Dark,Nutmeg Berry Peach
Honduras – San Rafael (organic),Nicaragua,Footprint Coffee,ParainemaRed Catuai,Washed,Dark,Floral Floral Berry Peach
Capucas Organic Swiss Water Decaf - Honduras,Honduras,Devon Coffee Company,CaturraBourbonParainemaIcatuObata,Natural,Medium,Honey Floral Floral Fruity
Lonya Grande - Peru Organic,Colombia,Devon Coffee Company,CaturraPache ComumBourbonTypicaCatimor / Ateng,Honey,Medium,Chocolate Black  Tea Pomegranate
Proper Gobby,Kenya,Loud Mouth Coffee,CaturraYellow Bourbon,Washed,Dark,Molasses Caramelized Peach
Assembly House Single Espresso,Honduras,Assembly,Catucai,Honey,Dark,Cereal Almond Citrus  Fruit
Brazil Cerrado Grande - Pulped Natural,Honduras,Ristretto,ColombiaCaturra,Washed,Medium Dark,Rose Floral Grape Pear Orange
"Finca La Esperanza, Burila - Colombia",Peru,Coffee Gems,CastilloColombiaCaturraBourbonTabiTypicaF6,Natural,Light,Dark  Chocolate Vanilla Grape
Colombia – Certified Organic,Costa Rica,Green Bridge Organics,Red Bourbon,Washed,Dark,Molasses Caramelized Berry Orange
Rwanda Liza Lot 8,Brazil,Fika,CastilloColombiaCaturraTypica,Honey,Medium,Chocolate Caramelized Citrus  Fruit
Team Spectra Espresso Blend,Brazil,Nude,Colombia,Honey,Medium Light,Nutty Dark  Chocolate Molasses Caramelized
Brazilian Single Origin,Brazil,Roasting Plant,TypicaYellow Bourbon,"Natural, Anaerobic or Macerated",Dark,Cinnamon Dark  Chocolate Molasses Caramelized
Organic – Colombia,Honduras,Redroaster,Pacamara,Natural,Dark,Molasses Caramelized Berry Citrus  Fruit
Rockets And Rascals - Seadog,Colombia,Devon Coffee Company,TypicaCatimor / Ateng,Washed,Medium,Hazelnut Chocolate Cherry
Byron Bay Filter White Grape | Vanilla | Icing Sugar,Colombia,Urban Baristas,CaturraBourbon,Natural,Light,Hazelnut Chocolate Orange
Jones,Rwanda,The Blending Room,Ethiopia / Sudan Assesion,"DecafWashed, Mountain Water",Medium Dark,Chocolate Caramelized Sweet Lemon
Preorder Trailblazers Duo Set - Mierisch & Pola,Brazil,Origin,Gesha / Abyssinia,"DecafHoney, Sparkling Water (CO2)",Dark,Dark  Chocolate Molasses Caramelized
Indonesia,Colombia,HEJ,CaturraBourbonCatuai,Honey,Light,Cocoa Molasses Caramelized Grapefruit
Q’antxabina | Guatemala,Brazil,Vagabond,Ethiopia / Sudan Assesion,"Natural, Anaerobic or Macerated",Medium,Maple  Syrup Floral Other  Fruit Orange
Melody,Colombia,Modern Standard,Pink BourbonRobiaceae Coffea,"DecafWashed, Swiss Water",Medium,Chocolate Winey
El Salvador - Finca Los Angeles (natural Geisha) - 200g,Brazil,Abstract,CaturraTypica,Washed,Green,Sweet Fruity
Mexican Mountain Water Decaf,Guatemala,On The Grind,CastilloColombiaCaturraPink BourbonTabiRobiaceae CoffeaHybrido de TimorGesha / AbyssiniaSL-28,Washed,Medium,Sweet
Q'Anil Decaf,Indonesia,Carvetii,SL-14SL-28,Washed,Medium,Sweet
Ethiopia - Khalid Shifa,Guatemala,The Missing Bean,Red Bourbon,Washed,Dark,Sweet
"Finca Juan Martin, Colombia",Brazil,Campbell & Syme,Lempira,Washed,Medium,Sweet
Colombia - Swiss Water Decaf,Colombia,Quantum Roasters,Red Bourbon,Honey,Light,Nutty
"Juan Cubillos, Colombia",El Salvador,Campbell & Syme,Colombia,"DecafWashed, Sugarcane (E.A.)",Dark,Sweet
"Mt. Elgon Gibuzale, Uganda | Espresso",Mexico,Williams & Johnson,CastilloColombiaGesha / Abyssinia,"Natural, Anaerobic or Macerated",Medium,Sweet
Rwanda - Single Origin,Guatemala,Carve,Tabi,Honey,Medium Dark,Sweet Fruity
Coffee Of The Month - Honduras Gea Diosa De La Tierra Bloom,Ethiopia,The Bean Shop,CatuaiS795Kaffa,Honey,Medium,Sweet
Burundi 'Masenga',Colombia,Peaberry Coffee Roasters,ColombiaCaturra,Washed,Medium,Sweet Fruity
*bonus Deal* Colombian 30% Off,Colombia,Stirling Coffee,Typica,Honey,Dark,Sweet
Ojo De Agua,Colombia,Fidela,Robusta,Washed,Dark,Chocolate Winey
Mexico Finca Aurora Bloom,Uganda,The Bean Shop,CaturraBourbonTypica,Honey,Dark,Sweet Fruity
India • Mooleh Manay,Rwanda,Quarter Horse,CatuaiKaffa,Washed,Medium,Sweet Fruity
Gumdrop,Honduras,Devon Coffee Company,Catimor / Ateng,Natural,Dark,Sweet
Colombia - Finca La Peña,Burundi,Terrone & Co.,Parainema,Natural, Dark,Sweet Fruity
Peru G1 Gonzilla Estate,Colombia,Hill Top Brews,Castillo,Natural,Dark,Nutty
Drakon,Colombia,Whole in the Ground,Pacamara,Washed,Medium,Sweet Fruity
Guatemala - Red De Mujeres,Mexico,Leicester Coffee House,Villa SarchiColombiaBourbonTypicaCatimor / Ateng,Washed,Medium,Sweet Fruity
India • Venkids Valley,India,Quarter Horse,CaturraBourbonTypica,Honey,Light,Sweet Fruity
Kaku Yunnan Province China,Peru,No.13,Colombia,"Natural, Anaerobic or Macerated",Medium,Sweet Fruity
Honduras Pedro Joel Fiallos,Colombia,Bean Coffee,Caturra,"Natural, Anaerobic or Macerated",Medium Dark,Fruity
Colombia / Manos Juntas,Peru,Nude,BourbonTypicaCatuai,Honey,Medium,Sweet
Elephant And Castle – Giant Beans,Vietnam,HEJ,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,Sweet
Peru Emmeline,Guatemala,Luckie Beans,Robusta,Washed,Dark,Sweet Fruity
Peru La Danta Aa,India,Hard Lines,Mundo NovoAcaiaCatuai,Natural,Dark,Sweet Fruity
Castanhas Do Brasil Ground Coffee,China,Cafezinho,Yellow Bourbon,Natural,Medium,Sweet Fruity
Colombia La Loma,Honduras,The Roasting Project,Robiaceae Coffea,Washed,Medium,Sweet
Colombia: Finca Los Alpes - Single Origin - Microlot - 100% Arabica,Colombia,Rinaldo's Coffee,Yellow CatuaiMundo NovoCaturraPache ComumBourbonSL-14Robiaceae CoffeaCatuaiRed CatuaiSL-28,Honey,Dark,Sweet Fruity
East Blend,Nicaragua,Nude,Ethiopia / Sudan AssesionColombiaArabicaRobiaceae Coffea,Natural,Medium Dark,Sweet
Ethiopian Yirgacheffe,Peru,On The Grind,ColombiaCaturraBourbonTypica,Washed,Medium,Sweet
Blend,Peru,River City,CastilloColombiaCaturra,Washed,Medium,Sweet Fruity
Brazilian - Sul De Minas,Brazil,47 Degrees,CaturraBourbonCatuai,"DecafWashed, Sugarcane (E.A.)",Medium,Nutty
Brazil Pe De Cedro,Colombia,Roastworks,Colombia,Washed,Medium,Sweet
"Buie Bora, Washed, Ethiopia",Colombia,Outpost,Mundo Novo,Natural,Medium Light,Nutty
The,El Salvador,Roastworks,Typica,Natural,Medium Dark,Sweet Fruity
Brazil - House Party,Costa Rica,Hard Lines,CaturraBourbonTypicaCatuaiSan Ramon,Natural,Medium,Fruity
Wildcat  - Organic,Ethiopia,Beanberry,Selection 9,Honey,Medium Light,Chocolate Winey
Blend 13 Colombia,Kenya,No.13,Yellow Bourbon,"Natural, Anaerobic or Macerated",Medium,Fruity
"Decaf - Risaralda, Colombia",Brazil,Moonroast,Red Bourbon,Washed,,Sweet
Mexican Finca Aurora Brew Bags,Vietnam,Grain and Grind,Caturra,Washed,,Chocolate Winey
Filter Blend,Brazil,Kaffee Culture,CaturraPacasParainemaCatimor / AtengCatuai,"DecafWashed, Mountain Water",,Sweet Fruity
Big Yin,Brazil,The Steamie,ColombiaCaturraArabicaRobiaceae Coffea,"Natural, Anaerobic or Macerated",,Sweet Fruity
Peru – Certified Organic,Ethiopia,Green Bridge Organics,Sigarar Utang,Honey,,Sweet Fruity
Las Palomas Costa Rica,Uganda,Littlestone,CaturraArabicaRobiaceae CoffeaRed Catuai,"DecafWashed, Swiss Water",,Sweet
India Gems Of Araku,Brazil,Peaberry Coffee Roasters,Colombia,"Natural, Anaerobic or Macerated",,Sweet
Brazil Pantano,Guatemala,The Blending Room,ColombiaTabiKaffa,Washed,,Fruity
Gisanga Boxset,Brazil,Cairngorm,Pache ComumBourbonArabicaSarchimor,Wet Hulled,,Sweet
Aquiares Estate – Costa Rica,Guatemala,Redroaster,BourbonTypicaCatimor / Ateng,Washed,,Sweet Fruity
Honduras - Coprocael Organic,Colombia,Two Dogs,Bourbon,Washed,,Sweet Fruity
El Mirador - Colombia,Ethiopia,Kofra,KumieWilshoDeiga/Dega,Washed,,Sweet
Anvil Mexican Mountain Water Decaf,Colombia,Anvil,Robiaceae Coffea,Honey,,Sweet
Indonesia - Kerinci Anaerobic (honey),Colombia,Yorks,Ethiopia / Sudan AssesionBourbon,Natural,,Sweet Fruity
Heavy Bag Espresso,Mexico,80 Stone,Kaffa,Honey,,Fruity
Colombia - Swiss Water Decaffeinated,Kenya,Black Cat Coffee,Robiaceae Coffea,Natural,,Fruity
Colombia • La Pradera Tabi,Honduras,Quarter Horse,Catimor / AtengBergendal / Sumatra,Natural,,Chocolate Winey
Guatemala La Esmeralda,Colombia,Chimney Fire Coffee,Red Bourbon,Wet Hulled,,Sweet Fruity
Mandheling Queen Ketiara,Brazil,Edgcumbes,Caturra,Washed,,Sweet
Mexico Oaxaca Region - Finca Aurora,Peru,Two Dogs,,Washed,,Sweet Fruity
Ethiopia Yirgacheffe,Costa Rica,Roastworks,,,,Chocolate Winey
"Ethiopia, Yirgacheffe",India,Quantum Roasters,,,,Sweet
New - India Ratnagiri Estate,Brazil,Boona Boona,,,,Sweet
What A Waste!,Rwanda,80 Stone,,,,Sweet Fruity
Rwanda Dukundekawa Musasa Ground Coffee,Costa Rica,Grumpy Mule,,,,Sweet
Guatemala Pocola Santa Paula Ground Coffee,Honduras,Grumpy Mule,,,,Sweet
Half Caff Bundle,Colombia,Chimney Fire Coffee,,,,Chocolate Winey
"Chelichele, Ethiopia",Guatemala,Long & Short,,,,Sweet
Brazil Lacador,Mexico,The Blending Room,,,,Sweet
Rocket,Peru,Extract,Colombia,Washed,Dark,Sweet
Ethiopia - Getenef Jafa - Catuai - Natural,Colombia,Yorks,Catuai,Natural,Light,Sweet Fruity
Brazilian Ipanema Yellow Bourbon,Ethiopia,On The Grind,Yellow Bourbon,Honey,Light,  Molasses    Rose    Fruity    Winey  
Papua New Guinea Elimbari,Brazil,Kaffee Culture,Typica,Washed,Light,  Spices    Almond    Vanilla    Sweet    Raisin  
"Ippikin'S Rock: Organic House Blend, Box",Papua New Guinea,Apostle,ArabicaRobiaceae Coffea,Washed,Medium,  Roasted  
Rocket Fuel - High Caffeine Blend,Peru,River City,ArabicaRobusta,Washed,Medium,  Fruity    Sour     Aromatics    Winey    Fresh  
Malawi - Pamwamba Estate Aa,Nicaragua,On The Grind,Catimor / AtengSL-28,Washed,Dark,  Nutty    Cocoa    Orange  
No 1.2 - House Blend,Honduras,Backyard Coffee,Catuai,Honey,Light,  Hazelnut    Nutty    Chocolate    Caramelized    Vanilla    Sweet    Lemon    Citrus     Fruit  
Brazil Santa Colomba,Brazil,Hands On Coffee,Red BourbonCatuai,Washed,Light,  Nutty     Cocoa    Caramelized    Vanilla    Orange    Citrus     Fruit  
No Boundaries Brew,Vietnam,Caravan,Acaia,Natural,Medium,  Raspberry    Grapefruit  
Fazenda Rio Verde,Malawi,Carvetii,BourbonAcaiaCatuai,Honey,Medium Dark,  Chocolate    Caramelized    Sweet    Orange  
Sítio Grota São Pedro,Uganda,Monmouth Coffee,PacasBourbon,Washed,Light,  Spices    Chocolate    Vanilla    Sweet    Lemon    Citrus     Fruit  
El Salvador Finca Santa Maria,Brazil,Welsh Coffee,Mundo Novo,Natural,Medium,  Roasted    Anise    Spices    Vanilla    Berry    Fresh  
Potosí,Brazil,Red Bank,SL-34SL-28,Natural,Medium,  Chocolate    Blackberry    Berry    Grape    Winey  
Sao Lucas - House Blend,Nicaragua,Strangers,Topázio,Washed,Medium,  Vanilla    Blueberry    Strawberry    Orange  
Kenyan - Kiangai Aa,Rwanda,Jolly Bean,Catuai,Natural,Medium,  Dark     Chocolate    Caramelized    Brown     Sugar    Other  
Brazil - Cachoeira Topazio,Brazil,The Missing Bean,Arabica,Natural,Medium,  Anise    Nutty    Dark     Chocolate    Cocoa    Sweet     Aromatic    Herb like  
Los Pinos By Joaquina Montoya,Brazil,Passion Fruit,CaturraBourbonTypica,"DecafWashed, Swiss Water",Light,  Hazelnut    Caramelized    Pear  
Swiss Water Decaffeinated Coffee,El Salvador,Ethical Addictions,PacasBourbon,Washed,Dark,  Floral    Berry    Sour     Aromatics    Fresh  
Guatemala - Red De Mujeres,Bolivia,Crown & Canvas,Yellow Catuai,Honey,Dark,  Spices    Hazelnut    Chocolate    Sweet    Cherry    Citrus     Fruit    Fruity    Winey  
