,coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
2660,100% Compostable Pods - Brazil,Ethiopia,Hope Espresso,Ethiopia / Sudan Assesion,"DecafNatural, Swiss Water",Medium,RoastedCinnamonSpicesNutty/CocoaBrown SugarSweetOrangeFruity
2661,Peru Agraria Frontera El Oso - Fairtrade Coffee Beans,China,The Bean Shop,SL-28,Natural,MediumOmni,VanillaSweetJasmineBerryPineapplePeachOther FruitGrapefruitLemonCitrus Fruit
2662,Decaf Colombia Planadas Tolima Washed Single Origin,Ethiopia,Bailies Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,Natural,MediumEspresso,NuttyChocolateSweetCitrus Fruit
2663,Ethiopia – Rocko Mountain Reserve,Ethiopia,Footprint Coffee,PacasPacamara,Washed,Espresso,ChocolateCaramelizedCherryPeach
2664,Brazil Sweet Cup S/S Fc 16/17,Bolivia,Two Dogs,CaturraRed BourbonCatuai,Honey,Omni,ChocolatePeachLime
2665,Banka,Uganda,Max Fronteras,CastilloColombiaCaturraTypicaGarnica,"DecafWashed, Sugarcane (E.A.)",Omni,RoastedAlmondNutty/CocoaMolassesHoneyVanillaSweetFloralPeachFruityAcetic AcidWiney
2666,"Cachoeira, Brazil - Espresso",Brazil,39 Steps,Ethiopia / Sudan Assesion,Washed,Omni,SpicesSweetFloral
2667,Huila Decaf | Colombia,Peru,Notes,BourbonCatuai,Washed,Extra Dark,Dark ChocolateCaramelizedBrown SugarGrape
2668,Sumatra 'Punchy' Mandheling,Colombia,Second Crack,Typica,Washed,,NuttyPeachFruity
2669,Ethiopia | Colombia | Peru Blend,Ethiopia,Baristocracy,Arabica,"DecafWashed, Swiss Water",,NuttyChocolateCaramelized
2670,Summer Claude Claudenetto (espresso),Brazil,Round Hill Roastery,BourbonCatuai,Washed,,BerryPeachOther FruitOverripe
2671,Decaf Brazil,China,Method Coffee Roasters,CaturraBourbonCatuai,"DecafWashed, Swiss Water",,ChocolateCaramelizedFloralOrange
2672,Ethiopian Reserve,Brazil,Roasting Plant,S795,Natural,,ChocolateFloralRaspberryPeach
2673,Don Sabino Micromill Sl-28 Natural,Colombia,Kofra,Robiaceae CoffeaSL-28,Washed,,Dark ChocolateCaramelizedPeachOther Fruit
2674,Melka Gumie.,Indonesia,WatchHouse,Red Bourbon,Wet Hulled,,AlmondNutty/CocoaVanilla
2675,El Progreso - El Salvador,Peru,Coffee Gems,Mundo NovoCaturra,Natural,,ChocolateAppleLimeCitrus FruitFresh
2676,Half Speed Low-Caffeine,Colombia,Extract,CastilloColombiaCaturraPink BourbonTabiTypicaRed Bourbon,Natural,,HazelnutDark ChocolateNutty/CocoaVanillaSweetDried Fruit
2677,Mele E Pere Blend,Ethiopia,Terrone & Co.,Catimor / Ateng,Washed,,CaramelizedDried FruitOther Fruit
2678,"Maypole, Mexico/Colombia",Honduras,Garage Coffee,Castillo,Washed,,NuttyBrown SugarSweet
2679,Masha Farm - Ethiopia,Colombia,Vice Roast,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,,RoastedNutmegHazelnutNutty/CocoaVanillaSweetBerryLemon
2680,Caffeine Free,Brazil,Flying Horse,PacamaraBourbon,Washed,,RoastedFloral
2681,Kenya - Ndimaini Ab - Washed,Ethiopia,Dear Green,CaturraCatimor / Ateng,Washed,,ChocolateBerry
2682,Taste Of Central America,Costa Rica,Edgcumbes,Robiaceae Coffea,Washed,,CinnamonSpicesDark ChocolateCaramelizedBrown SugarVanillaSweet
2683,Summer Solstice,Ethiopia,Stokes Tea and Coffee,Colombia,Honey,,Dark ChocolateSweetCherryOther FruitCitrus Fruit
2684,Mexico Siltepec El Jaguar,El Salvador,On The Grind,ColombiaGesha / Abyssinia,Washed,,Vanilla
2685,Sulawesi Toraja,Guatemala,Method Coffee Roasters,,"DecafWashed, Sparkling Water (CO2)",,NuttySweetBerry
2686,Test Roast -,Colombia,Hard Lines,,"DecafNatural, Sugarcane (E.A.)",,Dark ChocolateCocoaSweetOther FruitFruity
2687,"Ibanda Natural, Uganda",Brazil,Lost Horizon,,,,NutmegCinnamonSpicesNuttyCitrus Fruit
2688,Burundi,Guatemala,Baristocracy,,,,SpicesAlmondDark ChocolateMolassesCaramelizedSweetOther Fruit
2689,India Mysore Tiger,Mexico,Indy Coffee,,,,SpicesSweetCitrus FruitFruitySour
2690,1549 Blend,Colombia,The Norfolk Coffee,,,,NuttyChocolateMolassesCaramelizedSweet
2691,Colombia Aromas Del Sur,Ethiopia,Modern Standard,,,,HazelnutChocolate
2692,Myanmar Greenland,Brazil,Grain and Grind,,,,ChocolateMolassesCaramelizedOrangeCitrus Fruit
2693,"Foundation Blend,  (colombia And Brazil)",Kenya,Maude Coffee,,,,ChocolateOrange
2694,The Estate,North & Central America,Climpson & sons,,,,SweetPruneOther Fruit
2695,Finca Andalucia El Salvador,Brazil,Blak Nektar,,,,Spices
2696,Papua New Guinea Aa,Mexico,Stewarts of Trent Bridge,,,,ChocolateNutty/CocoaHoneyBrown SugarSweetFloral
2697,Central American Decaf Blend,Indonesia,On The Grind,,,,ChocolateDark ChocolateRoseFloralFloralBlueberryPeachOther Fruit
2698,Popayán - Colombia,Uganda,Cairngorm,,,,
2699,The Colombian Connoisseur Bundle,Burundi,Hermanos,,,,
2700,Organic Espresso,Peru,Monmouth Coffee,Ethiopia / Sudan Assesion,Natural,Medium DarkEspresso,ChocolateCocoaMolassesCaramelizedRaspberryCitrus FruitFruity
2701,La Claudina #3 (espresso),Ethiopia,Round Hill Roastery,CastilloTabi,"DecafWashed, Swiss Water",Espresso,Black TeaGrape
2702,Coop Tierra Libertad Sw Decaf,Colombia,Coffee Real,CaturraBourbon,"DecafWashed, Sugarcane (E.A.)",Espresso,Nutty/CocoaCaramelizedVanillaSweet
2703,Decaf - Colombia - Ea Hulia,Mexico,Dear Green,Colombia,Washed,Omni,RoastedSweetFloral
2704,Coop Tierra Libertad,Colombia,Coffee Real,CaturraBourbon,"DecafWashed, Sugarcane (E.A.)",Medium LightOmni,Brown SugarSweetOrangeLemonCitrus Fruit
2705,Sugarcane Decaf,Mexico,Extract,JARC 74160,Natural,Medium Dark,CocoaBrown SugarBerry
2706,Basha Bekele - Ethiopia,Colombia,Blak Nektar,Caturra,Honey,Medium,FloralFloralPineappleOther Fruit
2707,,Ethiopia,Due Fratelli,BourbonTypica,Washed,Espresso,VanillaSweetPineappleOther FruitGrapefruitOrangeCitrus Fruit
2708,Freak & Unique Vi | Colombia | San Adolfo,Brazil,Hundred House,Arabica,Washed,Espresso,HoneyVanillaSweetOrangeFruityWiney
2709,Los Huehuentones.,Colombia,WatchHouse,CaturraMarsellesa,"DecafWashed, Swiss Water",Light,HazelnutSweetRaisinOther Fruit
2710,Karimikui Aa.,Mexico,WatchHouse,Java (Cultivar),Natural,LightFilter,CaramelizedVanillaBerry
2711,Indonesia - Single Origin,Kenya,Coffee Novice,Ethiopia / Sudan AssesionDeiga/DegaRobiaceae Coffea,Washed,Omni,TobacoSpicesChocolateSweetOther FruitCitrus Fruit
2712,Costa Rica Aquiares Swiss Water Decaf,Indonesia,Grain and Grind,Bourbon,Natural,Espresso,NuttySweetBerryOrange
2713,The Bean Shop Blend,Costa Rica,The Bean Shop,Robiaceae Coffea,Natural,Espresso,Roasted
2714,Ethiopia | Halo,Brazil,Coldblow,Ethiopia / Sudan AssesionRobiaceae Coffea,"DecafWashed, Swiss Water",MediumOmni,ChocolateCaramelizedSweetBerryOther Fruit
2715,Dr Congo - Rebuild Womans Hope Project,Indonesia,CoffeeMango,CaturraPache ComumCatimor / Ateng,"Natural, Anaerobic or Macerated",Green,NutmegCherryOrangeCitrus FruitFruity
2716,Flavoured Syrups For Coffee,India,Ethical Addictions,CastilloF6,Natural,Medium LightOmni,SpicesHazelnutCaramelizedVanilla
2717,Dambi Uddo Espresso | Ethiopia,Ethiopia,Notes,ArabicaYellow Bourbon,Natural,Medium DarkOmni,SpicesMaple SyrupHoneyVanillaFloralFloralStrawberryLemon
2718,Decaf Peru,D.R. Congo,Kaffee Culture,KumieWilshoDeiga/Dega,"DecafWashed, Swiss Water",Omni,NuttyChocolateCaramelizedSweetOther FruitOrange
2719,Zambia,Ethiopia,HEJ,CaturraPacasBourbonTypicaIHCAFE 90Catuai,Natural,MediumEspresso,MolassesMaple SyrupSweetStrawberryFruityFresh
2720,El Salvador El Cipres - Yellow Bourbon,Peru,Chimney Fire Coffee,Ethiopia / Sudan AssesionColombia,Washed,Omni,BlueberryGrapefruitLime
2721,Ethiopia Haru,Zambia,Stokes Tea and Coffee,ColombiaCaturra,Natural,Medium Light,CerealHazelnutCaramelized
2722,Decaf - Honduras - Marcala,El Salvador,The Missing Bean,Catuai,Wet Hulled,Medium,RoastedFloralCitrus Fruit
2723,So:special Blend,Ethiopia,SORoast,TypicaCatimor / AtengHybrido de Timor,Natural,Dark,TobacoMaltChocolate
2724,Tobacco Road - Blend,Honduras,47 Degrees,CaturraParainema,Wet Hulled,MediumOmni,ChocolateCaramelizedDried Fruit
2725,Brazil - House Party,Brazil,Hard Lines,Catimor / Ateng,Natural,MediumEspresso,AlmondChocolateApple
2726,Pods - Rituals.,Rwanda,WatchHouse,WilshoKumieDeiga/Dega,Honey,Espresso,ChocolateVanillaBerryApple
2727,Ernandes Pereira Limited Edition,Colombia,The Norfolk Coffee,CaturraBourbonTypicaCatuai,Natural,Medium,SpicesSweetFloral
2728,Sumatra Mandheling - Green Coffee Beans,Ethiopia,Second Crack,Mundo NovoArabicaCatuai,Honey,Espresso,SweetRaspberryBerryOther FruitCitrus FruitFruity
2729,Nicaragua - Soppexca,Brazil,Fika,CatuaiGesha / Abyssinia,Natural,Medium LightOmni,ChocolateSweetBlack TeaFloral
2730,"Indonesia, Sumatra Ika",Colombia,Wolfox,SL-14SL-28,Natural,Omni,VanillaRaspberryBlueberryLime
2731,Ethiopia – Haru Yirgacheffe,Brazil,Forge Coffee Roasters,CastilloCaturra,Washed,LightFilter,AlmondCocoaCaramelizedVanillaCitrus Fruit
2732,Guatemala,Indonesia,Scotties Coffee,Red Bourbon,Natural,Extra Dark,MaltCerealRoastedNuttyChocolateDark ChocolateCocoaNutty/CocoaCaramelizedVanillaSweet
2733,Brazil Fazenda Palmital,Nicaragua,Campervan Coffee Co,CaturraBourbonGesha / Abyssinia,Natural,Espresso,HazelnutChocolateFruity
2734,Misspent Youth,Indonesia,Cartwheel,PacasBourbon,Washed,Light,NuttyHoneyCitrus FruitFruity
2735,Espresso 73,Ethiopia,Island Roasted,Caturra,Natural,Medium DarkEspresso,CocoaSweetPineappleOther FruitGrapefruitOrangeFruityOverripe
2736,Tropic Of Conversation – Uganda,Guatemala,80 Stone,Castillo,Washed,Omni,HoneySweetFloralPineappleMusty/Earthy
2737,La Cristalina.,Brazil,WatchHouse,Colombia,Natural,Medium,GrapeAppleLime
2738,Burundi - Masenga Hill,Brazil,Moonroast,Arabica,Natural,Medium,ChocolateBrown SugarSweetGrape
2739,Milestone Coffee Beans..,Ethiopia,Grumpy Mule,CastilloColombiaCaturra,Washed,Medium Dark,CerealNuttyCocoaSweetGrape
2740,Guatemala Nueva Granada Estate (monte Flor),El Salvador,Kaffee Culture,BourbonArabicaSidra,Washed,MediumEspresso,ChocolateBerryRaisin
2741,El Salvador – Finca San Ernesto,Guatemala,Forge Coffee Roasters,Bourbon,Honey,Espresso,BerryAppleFruity
2742,Cloud Catcher,Uganda,Unorthodox,Red Bourbon,"DecafWashed, Mountain Water",Medium,NuttyDark ChocolateCaramelizedSweet
2743,Sanctuary Blend – Single Estate,Colombia,Redroaster,CaturraCatuai,Natural,Omni,VanillaPineapple
2744,Colombia Anserma Natural,Burundi,Strangers,SL-14Catimor / AtengRed CatuaiSL-28,Washed,Espresso,ChocolateCaramelizedSweet
2745,Magnitude,Guatemala,Modern Standard,Caturra,"DecafNatural, Swiss Water",Omni,Dark ChocolateCocoaSweetCitrus Fruit
2746,Peru Cafe Femenino Ground Coffee,El Salvador,Grumpy Mule,ArabicaBlue Mountain,"Natural, Anaerobic or Macerated",MediumOmni,HazelnutCaramelizedOrange
2747,Vida,Thailand,Hundred House,Robiaceae Coffea,Natural,MediumOmni,SpicesNuttyChocolate
2748,Risaralda,Costa Rica,Caravan,CastilloColombiaPink BourbonTypicaGesha / Abyssinia,"DecafWashed, Sugarcane (E.A.)",Green,ChocolateSweetRaspberryOther Fruit
2749,Nestor Lasso - Limited Edition Series,Brazil,Kofra,ColombiaRobusta,Washed,Medium,HazelnutNuttyDark ChocolateMolassesCaramelizedSweetBerryCitrus Fruit
2750,,Colombia,Due Fratelli,CastilloCaturra,"DecafWashed, Sparkling Water (CO2)",Omni,MolassesVanillaBerryDried Fruit
2751,Brazil Stanage: Natural Brazilian,Brazil,Seamoor,CaturraPacamaraCatuai,Washed,Espresso,SpicesVanillaSweetPeach
2752,Rwanda Gatare,Colombia,Method Coffee Roasters,CaturraCatimor / AtengCatuai,Honey,Espresso,Vanilla
2753,"Shyira Washed, Rwanda",Peru,Lost Horizon,Robiaceae Coffea,Washed,MediumOmni,ChocolateMolassesCaramelized
2754,Quack Quacks Blend Americas | New Release,Mexico,Cotswold Coffee Roasters,Catuai,Natural,LightFilter,SpicesChocolateDried FruitLemonCitrus FruitWhiskey
2755,Mexican Mountain Water Decaf,Costa Rica,On The Grind,Java (Cultivar),"Natural, Anaerobic or Macerated",Espresso,AniseCaramelizedCherry
2756,North Coast Natural,Colombia,Sabins,Ethiopia / Sudan Assesion,"DecafWashed, Mountain Water",DarkEspresso,NutmegCaramelizedSweetOrangeLemon
2757,El Danubio Micro Lot,Colombia,Coffee Real,Red Catuai,Honey,Medium,RoastedSweetJasmineFloralBerryCitrus Fruit
2758,Blue Mountain Blend Grade 1,Brazil,Boun Beans,ColombiaBourbon,Washed,Dark,AlmondCocoaMolasses
2759,Decaf Swiss Water,Brazil,Artisan Roast,CaturraBourbonTypicaCatuai,Wet Hulled,Dark,CaramelizedGrapeOther FruitFruity
2760,Las Piedras,Rwanda,Smith Street,CaturraBourbonCatuai,"DecafNatural, Sparkling Water (CO2)",MediumOmni,RoastedNuttyChocolateMaple SyrupCaramelizedVanillaFruityFresh
2761,Chocolate Point Blend,Rwanda,Black Cat Coffee,Ethiopia / Sudan Assesion,Honey,DarkEspresso,ChocolateOverall SweetSweetAppleCitrus FruitFresh
2762,The Decaf Colombia,Costa Rica,No.13,TypicaCatimor / AtengS795,Washed,LightFilter,NuttyCaramelizedBrown SugarLemon
2763,Boater - Single Origin - Peru,Mexico,The Gentlemen Baristas,PacasBourbonRobiaceae Coffea,Natural,MediumOmni,CerealChocolateFreshBitter
2764,Cherry Storm - Sparkling Water Decaf,Uganda,Cherry Storm,Arabica,"DecafWashed, Sugarcane (E.A.)",,SweetJasmineOther Fruit
2765,Ethiopia - Boledu,Brazil,Moonroast,CaturraPache ComumBourbonCatuai,Washed,,HoneySweetFruity
2766,"Guatemala, San Jeronimo",Colombia,Weanie Beans,Yellow CatuaiMundo NovoAcaiaRed Catuai,Washed,,TobacoSmokySpicesMusty/Earthy
2767,"Indonesia ""old Brown"" Java",Jamaica,Two Dogs,CastilloColombiaCaturra,Washed,,VanillaSweetJasmineFloralFloralBlueberryStrawberryPineapplePeachOther FruitLimeFruityFermentedOverripeBitter
2768,Eclipse_001 - Dubancho Natural,Ethiopia,Moonroast,ColombiaCaturraRobiaceae CoffeaCatuai,Honey,,NutmegGrape
2769,Onix Nano Lot Vii,Brazil,Smith Street,CastilloCaturra,Natural,,SpicesNuttyNutty/CocoaVanillaSweetSourFermentedFreshBitter
2770,Assembly Espresso Blend,Colombia,Assembly,CaturraCatuai,"Natural, Anaerobic or Macerated",,ChocolateVanillaFloralFloralLemon
2771,Decaf Mountain Water,Brazil,Edgcumbes,CaturraBourbonSelection 9Robiaceae Coffea,"DecafNatural, Sugarcane (E.A.)",,CocoaMaple SyrupBerryDried FruitCitrus Fruit
2772,Catalina De La O | Peru,Colombia,Roast Lab,Caturra,Washed,,SpicesAlmondSweetFloralOrangeLemon
2773,Ethiopia Duromina  - Organic,India,Beanberry,Icatu,Natural,,Nutty
2774,Indonesia - Trenggiling Wet Hulled,Colombia,Terrone & Co.,Colombia,Washed,,MaltCloveChocolateCaramelizedSweet
2775,,Honduras,Due Fratelli,Colombia,"DecafWashed, Swiss Water",,MolassesCaramelizedPruneCherry
2776,Santa Petrona Black Honey Bourbon,North & Central America,Crankhouse Coffee,Bourbon,Honey,,CocoaCaramelizedSweetOrange
2777,,Ethiopia,Due Fratelli,Acaia,Washed,,MolassesMaple SyrupOther FruitCitrus Fruit
2778,,Guatemala,Ovenbird,CaturraCatuai,,,ChocolateSweetFloralFloralCitrus FruitWiney
2779,Raw Green Guatemala Huehuetenango,Indonesia,On The Grind,BourbonCatuai,,,NuttyChocolateMaple SyrupOrange
2780,"Brazil, Boa Esperanca Estate",Ethiopia,Quantum Roasters,Yellow Bourbon,,,MaltNuttyBrown SugarSweetOrange
2781,Dee Calf,Brazil,Unorthodox,Typica,,,SpicesDark ChocolateMolassesCaramelizedApple
2782,The Daily,El Salvador,Caravan,,,,AlmondChocolateBerry
2783,Dulima  - Washed (colombia),Brazil,Maude Coffee,,,,Chocolate
2784,Koko Deluxe Drinking Chocolate,Colombia,Nude,,,,CerealDark ChocolateCocoaPeach
2785,House Blend Compostable Pods,Mexico,39 Steps,,,,CaramelizedSweetRaisinDried FruitPearCitrus FruitMusty/Earthy
2786,Fairtrade Blend,Peru,Stewarts of Trent Bridge,,,,Nutty/CocoaVanillaCitrus Fruit
2787,Six Am,Ethiopia,Coffee Real,,,,HoneyFloralFloralOther Fruit
2788,Finca Argentina (colombia),Indonesia,Faodail Roastery,,,,RoastedNuttyNutty/CocoaGrapePearCitrus FruitWiney
2789,Brazil Sao Silvestre Carbonic Maceration Microlot,Honduras,Bailies Coffee,,,,SpicesMolassesCaramelizedVanillaStrawberryPear
2790,Decaf - Colombia,El Salvador,Roasting Plant,,,,NuttyChocolateCaramelizedSweetCitrus FruitFruity
2791,Espresso Blend,Brazil,Kaffee Culture,,,,NuttyCitrus Fruit
2792,Santa Elena (washed),Indonesia,Origin,,,,RoastedHazelnutChocolateOrange
2793,#00b Margo'S Brazilian,Guatemala,Lars & Margo,,,,ChocolateSweetCitrus Fruit
2794,Stronghold,Brazil,Origin,,,,MolassesCaramelizedVanillaSweetOther FruitCitrus Fruit
2795,Costa Rica Santa Anita Estate,Colombia,On The Grind,,,,NuttyVanillaSweet
2796,Brazil Decaffeinated,Brazil,Lost Barn,,,,Dark ChocolateVanillaFruity
2797,Smokey Bird Espresso Blend,Colombia,Pelicano,,,,RoastedHoneyBrown SugarJasmineFloralFloralCitrus FruitFresh
2798,Jasmine Coffee Beans,Colombia,Cafezinho,,,,NuttyChocolateCaramelizedSweetLemonCitrus Fruit
2799,Jamaica - Blue Mountain Coffee,Brazil,Two Dogs,,,,
2800,Guatemalan Single Origin,El Salvador,Roasting Plant,CaturraBourbon,Natural,Omni,HazelnutDark ChocolateSweetApplePear
2801,La Colina | Guatemala,Guatemala,Notes,CastilloColombiaCaturra,Washed,Omni,GrainAlmondChocolateFloralOrange
2802,The Thumper Decaf – Colombia San Lorenzo,Guatemala,Hot Numbers,Tabi,Decaf,Omni,CaramelizedVanillaSweetFruity
2803,Mexico | Finca Muxbal,Colombia,Coldblow,ArabicaRed Catuai,Honey,Medium,AlmondChocolateRaspberry
2804,Santa Joana - Brazil,Mexico,Kofra,SL-14SL-28,Honey,Omni,HoneyBrown SugarSweetOrangeLemonCitrus Fruit
2805,Uganda Bukonzo Fto,Brazil,Luckie Beans,Colombia,Washed,DarkEspresso,ChocolateBerryCherry
2806,Colombia Fernilee: Colombian Natural Decaf,Uganda,Seamoor,Robiaceae Coffea,DecafNatural,Filter,Brown SugarStrawberryPearOther Fruit
2807,Chelelektu Natural,Colombia,Coffee Real,Colombia,Natural,Medium,SweetBerryFruityWiney
2808,"Colombia Macizo Del Guarapos, Huila",Ethiopia,Inverness Coffee Roasting Co.,Ethiopia / Sudan Assesion,Natural,Filter,RoastedCaramelizedSweetRaspberryCitrus FruitFruity
2809,Sidamo,Colombia,Stirling Coffee,IHCAFE 90,Natural,Omni,RoastedFloralFloralLemonCitrus Fruit
2810,Honduras - Nely Suyapa Orellanas,Ethiopia,Leicester Coffee House,Yellow Bourbon,Natural,Extra Dark,ChocolateCaramelizedVanillaRaspberryPineapple
2811,Espresso Trio,Honduras,Origin,Robiaceae Coffea,Natural,Omni,NuttyChocolateDark ChocolateNutty/CocoaCaramelizedVanillaSweetBerryOther FruitGrapefruitCitrus FruitFruity
2812,The Americas,Brazil,Devon Coffee Company,Ethiopia / Sudan Assesion,Washed,Light,CerealCaramelizedVanillaFruity
2813,"Pantan Musara, Sumatra",Indonesia,Campbell & Syme,SL-34SL-28,Natural,MediumOmni,ChocolateFloralStrawberryPear
2814,Ethiopia Uraga,Ethiopia,The Roasting Project,SL-34SL-28,Washed,Omni,MolassesCaramelizedJasminePeachCitrus FruitFruity
2815,Tiamo K02  Paper - Natural,Kenya,Cairngorm,Catimor / AtengSL-28,Washed,Medium,Dark ChocolateSour AromaticsFresh
2816,"Kigwandi, Kenya",Kenya,Obadiah,Bourbon,Washed,Dark,HoneyBlackberryGrapefruit
2817,Gerald Njagi,Malawi,Red Bank,Bourbon,Washed,Espresso,MolassesCaramelizedBrown SugarSweetAppleCitrus FruitFresh
2818,Malawi - Pamwamba Estate Aa,El Salvador,On The Grind,CaturraBourbonCatuaiSan Ramon,Natural,Espresso,ChocolateGrapefruitOrange
2819,El Salvador Los Luchadores ( The Fighter ) Washed Double Soaked,Rwanda,Sabins,Caturra,Washed,Medium Light,PineappleOther FruitGrapefruit
2820,Rwanda | Huye Mountain,Guatemala,Hundred House,TypicaCatuaiHybrido de TimorS795,"DecafWashed, Swiss Water",Light,CherryAppleOther FruitFresh
2821,La Danta,Peru,Smith Street,Arabica,Honey,Filter,NuttyDark ChocolateBlueberry
2822,Glasshouse Light,Indonesia,Redroaster,Ethiopia / Sudan AssesionAgaroGimmaRobiaceae Coffea,"Natural, Monsooned",Dark,SweetOther Fruit
2823,Holy Grail,Timor,Pilgrims Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Espresso,TobacoSmokyNuttyCocoaCitrus Fruit
2824,Indian Monsooned Malabar,India,Kaffee Culture,Robiaceae Coffea,Washed,Filter,PeachCitrus Fruit
2825,Ethiopia Beshasha,Ethiopia,Ristretto,PacasCatuai,"DecafWashed, Sparkling Water (CO2)",Espresso,VanillaSweetRoseFloralFloralGrapePeachPearOther Fruit
2826,Ethiopia Yirgacheffe Coffee Farmers Cooperative Union,Ethiopia,Farm To Home,Colombia,Washed,MediumEspresso,Spices
2827,Central American Decaf Blend,North & Central America,On The Grind,Robiaceae CoffeaCatuai,"DecafWashed, Sugarcane (E.A.)",Filter,ChocolateHoneyVanillaSweetCitrus Fruit
2828,Honduras Finca Los Mangos,Honduras,Island Roasted,Kent,Natural,Espresso,MaltDried FruitCitrus Fruit
2829,Legoman (decaf),Colombia,Cartwheel,CastilloColombia,Washed,Light,ChocolateNutty/CocoaCaramelizedBlueberry
2830,Development - House Espresso,Brazil,Craft House Coffee,Robiaceae Coffea,Washed,Omni,ChocolateSweetCitrus FruitFruity
2831,Wake The Bishop,Ethiopia,Argyll Coffee Roasters,KumieDeiga/Dega,"DecafWashed, Sugarcane (E.A.)",Espresso,SpicesNuttySweetFruity
2832,Cuban,Tanzania,Stirling Coffee,CaturraBourbonCatuai,Honey,Omni,HazelnutMaple SyrupBrown SugarSweetCherryCitrus FruitFruity
2833,"Magdalena Decaf, Colombia",Brazil,Garage Coffee,Yellow Bourbon,Washed,Medium DarkEspresso,SpicesSweetFloralFloralStrawberryLime
2834,Capra,Cuba,Whole in the Ground,CaturraTypicaArabica,Washed,Espresso,MaltAlmondChocolateHoney
2835,"Ashaninka, Fully Washed, Peru",Colombia,Outpost,KumieWilshoDeiga/Dega,Washed,Omni,ChocolateVanillaLemonLimeCitrus FruitFruity
2836,Ethiopian - Single Origin Coffee - Grade 1 - Ethiopia - Natural Yirgacheffe,Ethiopia,Sidewalk Coffee,CastilloColombiaCaturraTypica,Natural,Dark,SpicesAlmondNuttyDark ChocolateDried FruitWhiskey
2837,Captain'S Grog - Vintage Rum Infused Guatemalan Coffee,Peru,Bean Brothers,Robiaceae Coffea,DecafWashed,Green,AlmondChocolateSweetCherry
2838,Brasil Mantiquiera De Minas Natural,Ethiopia,Yellow Bourbon,CastilloColombiaCaturra,Natural,Extra Dark,FreshChemical
2839,Colombian Mountain Water Decaf,Guatemala,47 Degrees,Kaffa,"DecafWashed, Swiss Water",Light,FloralFloralCoconutGrapePeachLime
2840,Ethiopia Yirgacheffe Koko Natural,Brazil,Kaffee Culture,Ethiopia / Sudan AssesionGimmaRobiaceae CoffeaKaffa,Natural,Omni,CaramelizedAppleLemon
2841,Swiss Water Decaf Espresso,Colombia,Outpost,CastilloColombiaCaturra,Washed,Medium DarkFilter,Black TeaPeach
2842,Kennisa,Ethiopia,Atkinsons,CaturraBourbonCatimor / Ateng,Natural,Omni,ChocolateBlueberryPeachLime
2843,Guest Coffee Rwanda (natural),Colombia,Colombia Coffee Roasters,Red Bourbon,Natural,Omni,RoastedChocolateNutty/CocoaSweetFloralOrangeCitrus Fruit
2844,Colombia Comepcafe Washed Single Origin,Ethiopia,Bailies Coffee,CastilloMundo NovoCaturra,Washed,Medium,BerryCitrus Fruit
2845,#00y - Yemeni ***now Reduced***,Rwanda,Lars & Margo,Bourbon,DecafWashed,Omni,SpicesMaple SyrupSweetFloralLimeCitrus Fruit
2846,Ethiopia — Nesru Aba Nura,Colombia,Assembly,SL-34SL-28,Washed,Omni,AniseChocolateSweet AromaticSweetPineappleOther FruitGrapefruitCitrus FruitHerb-likeMusty/Earthy
2847,Sumatra Mandheling,Yemen,Indy Coffee,ColombiaRobiaceae Coffea,Washed,Filter,NuttyVanillaSweetFloralOther FruitUnder-ripe
2848,Anvil Ethiopian Yiragacheffe Adado - Fully Washed - Micro Lot,Ethiopia,Anvil,CastilloColombiaCaturra,Washed,Omni,CerealChocolate
2849,Colombia - I ❤ Decaf,Indonesia,Hard Lines,ColombiaCaturra,Natural,DarkOmni,ChocolateCaramelizedSweet
2850,Mexico Oaxaca,Ethiopia,On The Grind,ColombiaTypica,Washed,Espresso,RoastedCaramelizedHoneyVanillaSweetFloralBlueberry
2851,Burundi Masenga Hill - Lot 27,Colombia,Rockhill Brothers,Caturra,Washed,MediumFilter,ChocolateMolassesCaramelizedSweetPeachFruity
2852,Industrial - House Espresso,Mexico,Craft House Coffee,ArushaBlue Mountain,Washed,Light,ChocolatePomegranateLime
2853,Kinini Natural,Burundi,Atkinsons,JARC 74110JARC 74112,Washed,Filter,HoneyVanillaSweetRaspberryBerryLemonRaw
2854,Kenya – Mwiria Ab,Colombia,Footprint Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Dark,NuttyDark ChocolateBlueberry
2855,Organic Glasshouse Blend,Rwanda,Redroaster,CaturraBourbon,Washed,Omni,ChocolateMaple SyrupApple
2856,"Totoro, Colombia (espresso)",Kenya,Machina,Typica,Natural,Medium,Sweet
2857,Colombian,Peru,Welsh Coffee,Gesha / Abyssinia,DecafWashed,MediumFilter,ChocolateRaspberryLime
2858,La Mazateca Tejao,Colombia,Crankhouse Coffee,CaturraBourbonSan Ramon,Washed,Espresso,NuttyDark ChocolateMolassesCaramelized
2859,Roasters Blend,Colombia,Strangers,CaturraBourbonTypica,Washed,Medium Light,NutmegSpicesChocolate
